weight_id,tier_spec,K,weight_mean,weight_sd,share_nonzero_obs_per_sector_mean,share_nonzero_obs_per_sector_min,n_munis_with_nonzero_Z_per_sector_mean,n_munis_with_nonzero_Z_per_sector_min,n_clusters_after_controls
emp_muni,mayor,4,0.00530322150251097,0.0174195671258673,0.463666595512813,0.206956599894393,4471.75,2947,5570
emp_muni,gov,4,0.00485638881803976,0.0167561454926327,0.405579772831961,0.211270770371535,4361.5,2863,5570
emp_muni,mayor_gov,8,0.00507980516027536,0.0170925238050084,0.434623184172387,0.206956599894393,4416.625,2863,5570
emp_muni,mayor_pres,8,0.00402470727214331,0.0144764830355711,0.401729038636542,0.134514487299037,4316.875,2158,5570
emp_muni,mayor_gov_pres,12,0.00430193445410879,0.015279244548149,0.403012616701682,0.134514487299037,4331.75,2158,5570
bin_muni,mayor,4,0.0111650655914256,0.0384695215274363,0.463666595512813,0.206956599894393,4471.75,2947,5570
bin_muni,gov,4,0.0104059834619892,0.0365864305505142,0.405579772831961,0.211270770371535,4361.5,2863,5570
bin_muni,mayor_gov,8,0.0107855245267074,0.0375416777201669,0.434623184172387,0.206956599894393,4416.625,2863,5570
bin_muni,mayor_pres,8,0.00863195806575652,0.0326745890357925,0.401729038636542,0.134514487299037,4316.875,2158,5570
bin_muni,mayor_gov_pres,12,0.00922329986450073,0.0340387967103456,0.403012616701682,0.134514487299037,4331.75,2158,5570
own_muni,mayor,4,0.0159760059787739,0.0361819894158388,0.463666595512813,0.206956599894393,4471.75,2947,5570
own_muni,gov,4,0.0139153076824902,0.0337211495322096,0.405579772831961,0.211270770371535,4361.5,2863,5570
own_muni,mayor_gov,8,0.0149456568306321,0.0349883701404655,0.434623184172387,0.206956599894393,4416.625,2863,5570
own_muni,mayor_pres,8,0.0123571229560056,0.0308134063821137,0.401729038636542,0.134514487299037,4316.875,2158,5570
own_muni,mayor_gov_pres,12,0.0128765178648338,0.0318206618478947,0.403012616701682,0.134514487299037,4331.75,2158,5570
owner_legacy,mayor,4,0.0555035031021312,0.110521029535467,0.465579323439203,0.189857205451134,4422.75,2689,5570
owner_legacy,gov,4,0.0526431031331967,0.110067120966886,0.406840881259198,0.183037670347942,4296.75,2524,5570
owner_legacy,mayor_gov,8,0.054073303117664,0.110303503728981,0.436210102349201,0.183037670347942,4359.75,2524,5570
owner_legacy,mayor_pres,8,0.0440445134408909,0.0972587538846174,0.405862047658102,0.12951499286589,4288.25,2074,5570
owner_legacy,mayor_gov_pres,12,0.0469107100049928,0.101788277868428,0.406188325525134,0.12951499286589,4291.08333333333,2074,5570
