outcome,instrument,office,cnae_section,beta_hat,se,t_stat,p_value,n_obs,joint_F,joint_p,rejects_5pc_joint
delta_log_gdp,Z_gov_coalition_cycle_specific_K_future,gov,K,-0.44926540659219,0.147748247064677,-3.04074948784688,0.00237087610087432,55614,1.6118631594931,0.00235639726066933,FALSE
delta_log_gdp,Z_gov_coalition_cycle_specific_F_future,gov,F,0.127854640320919,0.0479381534607585,2.66707478471358,0.00767359426052487,55614,1.6118631594931,0.00235639726066933,FALSE
delta_log_gdp,Z_pres_coalition_cycle_specific_F_future,pres,F,0.107988888661211,0.0519193567020265,2.07993502848999,0.0375771183924975,55614,1.6118631594931,0.00235639726066933,FALSE
delta_log_gdp,Z_gov_coalition_cycle_specific_H_future,gov,H,0.0364416633147466,0.0175798676311995,2.07292023348757,0.0382255902321442,55614,1.6118631594931,0.00235639726066933,FALSE
delta_log_gdp,Z_gov_coalition_cycle_specific_I_future,gov,I,0.208072722648085,0.100991747937581,2.06029430025002,0.0394167657707939,55614,1.6118631594931,0.00235639726066933,FALSE
delta_log_gdp,Z_gov_coalition_cycle_specific_C_future,gov,C,0.040767695354039,0.0216983741200563,1.87883641089756,0.060319022130696,55614,1.6118631594931,0.00235639726066933,FALSE
delta_log_gdp,Z_gov_coalition_cycle_specific_M_future,gov,M,0.0936916374442347,0.0514946731200036,1.81944328932616,0.0688974968581922,55614,1.6118631594931,0.00235639726066933,FALSE
delta_log_gdp,Z_mayor_coalition_cycle_specific_H_future,mayor,H,0.048207196500961,0.0266252263310405,1.81058353839267,0.0702592110769239,55614,1.6118631594931,0.00235639726066933,FALSE
delta_log_gdp,Z_mayor_coalition_cycle_specific_P_future,mayor,P,-0.210723350670179,0.119106968168173,-1.76919414465028,0.0769162022536352,55614,1.6118631594931,0.00235639726066933,FALSE
delta_log_gdp,Z_pres_coalition_cycle_specific_T_future,pres,T,10.0174035350501,6.37924877048049,1.57031084622455,0.116399622924441,55614,1.6118631594931,0.00235639726066933,FALSE
delta_log_gdp,Z_pres_coalition_cycle_specific_R_future,pres,R,0.164328185930813,0.108772015896835,1.51075793324149,0.130906872039737,55614,1.6118631594931,0.00235639726066933,FALSE
delta_log_gdp,Z_pres_coalition_cycle_specific_A_future,pres,A,-0.0912689141099352,0.0605571197151337,-1.5071541470148,0.131827870965247,55614,1.6118631594931,0.00235639726066933,FALSE
delta_log_gdp,Z_pres_coalition_cycle_specific_P_future,pres,P,-0.172216148218972,0.119251607613367,-1.44414110355078,0.148755542390639,55614,1.6118631594931,0.00235639726066933,FALSE
delta_log_gdp,Z_pres_coalition_cycle_specific_J_future,pres,J,-0.145231710154628,0.100880247650787,-1.43964466321861,0.150024163452948,55614,1.6118631594931,0.00235639726066933,FALSE
delta_log_gdp,Z_pres_coalition_cycle_specific_Q_future,pres,Q,0.279413249689763,0.203006971337468,1.37637268242026,0.16876161780545,55614,1.6118631594931,0.00235639726066933,FALSE
delta_log_gdp,Z_gov_coalition_cycle_specific_T_future,gov,T,5.40063224142918,4.00284540875261,1.34919830519064,0.177328129283051,55614,1.6118631594931,0.00235639726066933,FALSE
delta_log_gdp,Z_mayor_coalition_cycle_specific_O_future,mayor,O,-6.19959204356717,4.7124691560947,-1.31557190895332,0.188371923921502,55614,1.6118631594931,0.00235639726066933,FALSE
