muni_id,year,recipient_class,value_dis,n_loans
355010,2002,productive_firm,12944819,43
354940,2002,productive_firm,7679534,46
270860,2002,productive_firm,6891435,26
313170,2002,productive_firm,4353035,19
431405,2002,productive_firm,672742,9
352885,2002,productive_firm,164000,2
520140,2002,productive_firm,630111947,32
311110,2002,productive_firm,265199,5
999999,2002,productive_firm,285797412624,182
420890,2002,productive_firm,22847836,109
421625,2002,productive_firm,692048,8
130260,2002,productive_firm,9747476866,229
421650,2002,productive_firm,1729788,6
420360,2002,productive_firm,6695336,21
510760,2002,productive_firm,27537860,98
354980,2002,productive_firm,854007718,129
351040,2002,productive_firm,2145091,14
420290,2002,productive_firm,11035311,61
355150,2002,productive_firm,2135281532,9
410580,2002,productive_firm,7203611,53
521880,2002,productive_firm,1364932,20
314340,2002,productive_firm,177478,4
421290,2002,productive_firm,1966392,19
421580,2002,productive_firm,6296654,50
420930,2002,productive_firm,23925482,97
351620,2002,productive_firm,350442592,75
410150,2002,productive_firm,6797148,57
520110,2002,productive_firm,16127379,81
150140,2002,productive_firm,1093752095,84
354890,2002,productive_firm,8827809,75
210160,2002,productive_firm,595839,3
430470,2002,productive_firm,2013954616,24
431560,2002,productive_firm,5555131,22
412350,2002,productive_firm,394227,3
353030,2002,productive_firm,1741014,27
412220,2002,productive_firm,2061041,15
352400,2002,productive_firm,4179370,17
352590,2002,productive_firm,23834337,107
316935,2002,productive_firm,579622,8
310010,2002,productive_firm,547347,5
430100,2002,productive_firm,1454362,15
431000,2002,productive_firm,1107609,9
230730,2002,productive_firm,2144379,24
412550,2002,productive_firm,12878137,73
353870,2002,productive_firm,292000836,110
314690,2002,productive_firm,1709362,16
420985,2002,productive_firm,511467,9
314700,2002,productive_firm,2760583,10
352720,2002,productive_firm,2349740,7
350330,2002,productive_firm,9290703,31
522040,2002,productive_firm,580556,5
421760,2002,productive_firm,6688550,20
420320,2002,productive_firm,827585,12
221100,2002,productive_firm,12428706,81
312770,2002,productive_firm,8477751,51
420470,2002,productive_firm,1614938,15
355410,2002,productive_firm,9445517,33
350160,2002,productive_firm,15703769,55
120040,2002,productive_firm,4918641,41
431340,2002,productive_firm,16798383,83
291840,2002,productive_firm,1633469,16
355220,2002,productive_firm,21618834,94
353070,2002,productive_firm,3095720,34
353790,2002,productive_firm,82241,2
291480,2002,productive_firm,4215565,23
421670,2002,productive_firm,661982,12
411580,2002,productive_firm,2665529,21
432090,2002,productive_firm,2148172,17
240740,2002,productive_firm,100425,1
421125,2002,productive_firm,112935,3
355620,2002,productive_firm,4383995,28
410550,2002,productive_firm,1483961,28
420280,2002,productive_firm,1964739,23
420870,2002,productive_firm,644888,2
270430,2002,productive_firm,4653543075,106
510792,2002,productive_firm,462019471,17
430195,2002,productive_firm,57405,1
314930,2002,productive_firm,10215535,15
420650,2002,productive_firm,2845232,22
354070,2002,productive_firm,4647535,16
430790,2002,productive_firm,5295967,37
411320,2002,productive_firm,292357,9
291800,2002,productive_firm,3103112,15
110030,2002,productive_firm,3472928,26
354850,2002,productive_firm,1838098697,61
316470,2002,productive_firm,656722,12
