office,n_obs,n_munis,k_instruments,joint_F,joint_p,rejects_5pc
mayor,55614,5570,19,0.726789435483253,0.794684440306348,FALSE
gov,55614,5570,19,2.47031838912694,0.000366458851404602,TRUE
pres,55614,5570,19,1.53021399502115,0.0648833542906713,FALSE
