spec,status,n_obs,n_munis,K,n_collinear,ar_F,ar_p,rejects_5pc,rejection_status,vol_terms,vol_coefs
joint,ok,89009,5570,57,0,2.69164260301487,9.13001304482286e-11,TRUE,bounded_excludes_zero,vol_ratio,vol_ratio=3.324e-06(SE=7.359e-05)
split,ok,89009,5570,57,0,2.68426377540783,1.04601724916706e-10,TRUE,bounded_excludes_zero,prod_ratio+public_ratio+fi_ratio,prod_ratio=2.919e-04(SE=1.917e-04); public_ratio=6.375e-04(SE=5.781e-04); fi_ratio=-1.046e-01(SE=3.457e-02)
