instrument,office,policy_block,beta_hat,se,t_stat,p_value,t_sq,w_partial_wald,rank_partial_wald
Z_gov_coalition_cycle_specific_Infra,gov,Infra,0.0439284228562592,0.0133389287608501,3.29324967872904,0.00099654529041607,10.8454934464489,0.318954898287325,1
Z_mayor_coalition_cycle_specific_Ind,mayor,Ind,-0.0283913535965952,0.00989175888112965,-2.87020275542269,0.00411754390770164,8.23806385723601,0.242273054024068,2
Z_gov_coalition_cycle_specific_Ind,gov,Ind,0.0215217270732375,0.0101266859690808,2.12524878711045,0.0336097595583246,4.51668240711445,0.132831021923583,3
Z_mayor_coalition_cycle_specific_Infra,mayor,Infra,-0.0245725852059284,0.0122216672669006,-2.01057553517901,0.0444184276782884,4.04241398266036,0.118883271382812,4
Z_mayor_coalition_cycle_specific_Agro,mayor,Agro,-0.013127525428646,0.00957425048026237,-1.37112826280332,0.170390224090453,1.87999271305804,0.0552886678264207,5
Z_pres_coalition_cycle_specific_Ind,pres,Ind,-0.022712922185466,0.016573449129461,-1.37044027516828,0.170604743382296,1.8781065478033,0.0552331976304405,6
Z_pres_coalition_cycle_specific_Infra,pres,Infra,0.0280861783618913,0.0206631420049654,1.35924044635333,0.174125446343186,1.84753459100279,0.0543341075687573,7
Z_pres_coalition_cycle_specific_Agro,pres,Agro,0.0130698505756312,0.0193608787037401,0.675064948013253,0.499662527614624,0.455712684036136,0.01340204514462,8
Z_gov_coalition_cycle_specific_Agro,gov,Agro,-0.00601954582043627,0.0110044635887212,-0.547009472284129,0.584394142112425,0.299219362768561,0.0087997362119741,9
