row_type,ref_election,state_id,state_gov_shock_mag,state_gov_shock_signed,n_munis,state_pre_dlog_gdp,n_muni_yr,cor_signed
state_cycle_cell,2004,11,0.00113074976276953,5.50241446085942e-05,52,0.157462635444036,52,
state_cycle_cell,2004,12,0.00085572800355911,-0.00085572800355911,22,0.0392191723727987,22,
state_cycle_cell,2004,13,0.000540069680868783,-0.000483863999557774,62,-0.0538910289658661,62,
state_cycle_cell,2004,14,0.00119442541804798,0.00119442541804798,15,-0.0391068126780357,14,
state_cycle_cell,2004,15,0.000559607598694667,-0.000164890170463354,143,0.00539440424740099,143,
state_cycle_cell,2004,16,0.000619503745770812,-0.000142653485392239,16,0.0358953275431069,16,
state_cycle_cell,2004,17,8.55944619196775e-05,-8.55944619196775e-05,139,0.144856730692853,139,
state_cycle_cell,2004,21,6.57946603019867e-05,-1.43568150293103e-06,215,0.0694435626803247,208,
state_cycle_cell,2004,22,0.0022826065556715,-0.0022245944402074,221,0.0790681348027018,217,
state_cycle_cell,2004,23,0.000824848008475757,-0.000803801499517597,184,0.0151300718961623,184,
state_cycle_cell,2004,24,0.00277730450713308,-0.00248890869102899,167,-0.0292694987648674,167,
state_cycle_cell,2004,25,0.0025537827179787,-0.0025537827179787,222,0.0212695983727949,222,
state_cycle_cell,2004,26,0.00100307758363801,0.000658089609668322,185,-0.0461175331322029,185,
state_cycle_cell,2004,27,0.000979814727841294,-1.60671381095196e-05,102,-0.118340304512085,102,
state_cycle_cell,2004,28,0.00385885059538127,0.000482880134648621,75,0.0454295109608398,75,
state_cycle_cell,2004,29,0.00118239539494303,-0.00114744901432023,417,-0.0296255091213756,417,
state_cycle_cell,2004,31,0.00460110516350316,0.00181540067135913,853,0.00333508866320767,853,
state_cycle_cell,2004,32,0.00252759622459661,-0.00162335392056008,78,0.00185980417364608,78,
state_cycle_cell,2004,33,0.00146144393438896,0.000578049426938772,92,-0.0203269488060061,92,
state_cycle_cell,2004,35,0.000739347779816808,0.000739347779816808,645,-0.0160100005629751,645,
state_cycle_cell,2004,41,0.00402986152237031,-0.00275707449409595,399,0.13599716183877,399,
state_cycle_cell,2004,42,0.00649003149164233,-0.00378017996030575,295,0.0383907768844676,293,
state_cycle_cell,2004,43,0.00280087438487323,0.00131314312316988,498,0.151797603427761,496,
state_cycle_cell,2004,50,0.00117484494469002,-0.00102994922675448,79,0.17439030883118,77,
state_cycle_cell,2004,51,0.00265763786694685,0.00081336453867418,141,0.178863144508046,138,
state_cycle_cell,2004,52,0.000130807907707638,0.000130807907707638,246,0.043560168560153,246,
state_cycle_cell,2004,53,0.000980149905279631,0.000980149905279631,1,-0.0561747342192263,1,
state_cycle_cell,2008,11,0.00257189737839144,0.00199827668526317,52,0.0293398570494943,156,
state_cycle_cell,2008,12,0.00151241746617228,0.00149263722068352,22,0.089020795287654,66,
state_cycle_cell,2008,13,0.00164214953397059,-0.000459776506470163,62,0.0723533472137846,186,
state_cycle_cell,2008,14,0.000474841562559768,0.000186563819018641,15,0.0786535677156952,45,
state_cycle_cell,2008,15,0.00234530917443898,-0.00149693186631987,143,0.0609749970549141,429,
state_cycle_cell,2008,16,0.00207514770742032,-0.000326031153446997,16,0.137494890776059,48,
state_cycle_cell,2008,17,0.00319020081181602,-0.00162862298850271,139,0.0560786296891551,417,
state_cycle_cell,2008,21,0.00218869730237447,-0.00115823801266862,216,0.052290057012006,649,
state_cycle_cell,2008,22,0.000369987689129776,-0.000294923661846652,224,0.0742866106385088,664,
state_cycle_cell,2008,23,0.00358167983474981,0.000208221644327101,184,0.0567023868670743,552,
state_cycle_cell,2008,24,0.00172651414416718,0.0014144055492313,167,0.0843001681257062,501,
state_cycle_cell,2008,25,0.00174509051595627,0.00159510377443676,223,0.0664089048318523,668,
