alignment,exposure,weighting_target,fe_type,tolerance,pass_weighted,max_abs_diff_weighted,max_abs_diff_simple,firm_candidate_n,firm_used_n,agg_candidate_n,agg_weighted_used_n,agg_simple_used_n,firm_wald_f,agg_weighted_wald_f,agg_simple_wald_f
coalition,pooled_count,unweighted,relaxed,1e-08,FALSE,0.0317803619134597,0.00838940355654865,23206236,23206236,727409,727407,727407,10.6760819188386,2.35521809378428,2.30048550621736
coalition,pooled_count,unweighted,exact,1e-08,FALSE,0.00869095563061582,0.0109873617614689,23206236,23206236,727409,727407,727407,10.6760819188386,4.94976260475219,3.53965793068961
coalition,binary,unweighted,relaxed,1e-08,FALSE,0.0269740961779002,0.00362926822345432,23206236,23206236,727409,727407,727407,3.58516866087694,2.4097536962722,3.8419731144946
coalition,binary,unweighted,exact,1e-08,FALSE,0.0068321287033479,0.0091441727517117,23206236,23206236,727409,727407,727407,3.58516866087694,1.97737890390756,2.67310074646136
party,pooled_count,unweighted,relaxed,1e-08,FALSE,0.057797217676064,0.0141608178206781,23206236,23206236,727409,727407,727407,1.94191104953617,1.7051920335633,1.15710503442649
party,pooled_count,unweighted,exact,1e-08,FALSE,0.0147632491873669,0.0154358196792277,23206236,23206236,727409,727407,727407,1.94191104953617,1.27644405625867,1.07260388651549
party,binary,unweighted,relaxed,1e-08,FALSE,0.0461850394578266,0.0109703714098595,23206236,23206236,727409,727407,727407,0.320630925067885,3.45816040612172,3.00434273616881
party,binary,unweighted,exact,1e-08,FALSE,0.0175084734427238,0.0158085584629507,23206236,23206236,727409,727407,727407,0.320630925067885,0.967315169679341,2.07593421654219
