spec_id,weight_id,tier_spec,K,controls,f_stat,p_value,df1,df2,n_obs,n_clusters,r2,sig_marker,reject_05,status,note
bin_muni__mayor_gov__C2_FE_R0a,bin_muni,mayor_gov,8,C2_FE_R0a,5.98183248365266,1.05878957009207e-07,8,83414,89009,5570,0.00330228118517351,***,TRUE,ok,""
bin_muni__mayor_gov__C3_FE_R0b,bin_muni,mayor_gov,8,C3_FE_R0b,5.77689813940666,2.17383482185867e-07,8,83408,89009,5570,0.0042342418239536,***,TRUE,ok,""
bin_muni__mayor_pres__none,bin_muni,mayor_pres,8,none,45.865433114752,3.1745220202187e-74,8,89000,89009,5570,0.0464932227129752,***,TRUE,ok,""
bin_muni__mayor_pres__C1_FE,bin_muni,mayor_pres,8,C1_FE,2.40118134495237,0.0137863286374298,8,83416,89009,5570,0.000627610952767532,**,TRUE,ok,""
bin_muni__mayor_pres__C2_FE_R0a,bin_muni,mayor_pres,8,C2_FE_R0a,2.40792952115733,0.0135200183848309,8,83414,89009,5570,0.00216682143418701,**,TRUE,ok,""
bin_muni__mayor_pres__C3_FE_R0b,bin_muni,mayor_pres,8,C3_FE_R0b,2.41656904725877,0.0131862131498838,8,83408,89009,5570,0.00320370962752403,**,TRUE,ok,""
bin_muni__mayor_gov_pres__none,bin_muni,mayor_gov_pres,12,none,42.4204958858304,5.2820692263492e-101,12,88996,89009,5570,0.0602531528554041,***,TRUE,ok,""
bin_muni__mayor_gov_pres__C1_FE,bin_muni,mayor_gov_pres,12,C1_FE,4.45470683657169,3.43582640961324e-07,12,83412,89009,5570,0.00183936273938068,***,TRUE,ok,""
bin_muni__mayor_gov_pres__C2_FE_R0a,bin_muni,mayor_gov_pres,12,C2_FE_R0a,4.87705105234922,4.21704403782773e-08,12,83410,89009,5570,0.00361003591811593,***,TRUE,ok,""
bin_muni__mayor_gov_pres__C3_FE_R0b,bin_muni,mayor_gov_pres,12,C3_FE_R0b,4.7513382315028,7.9042296684059e-08,12,83404,89009,5570,0.00456572827537516,***,TRUE,ok,""
own_muni__mayor__none,own_muni,mayor,4,none,120.26113998145,1.6010225843499e-102,4,89004,89009,5570,0.0243092276264184,***,TRUE,ok,""
own_muni__mayor__C1_FE,own_muni,mayor,4,C1_FE,6.13943775356538,6.18272593195828e-05,4,83420,89009,5570,0.00055512600588048,***,TRUE,ok,""
own_muni__mayor__C2_FE_R0a,own_muni,mayor,4,C2_FE_R0a,2.18588938307479,0.067848644503502,4,83419,89009,5570,0.00143935246876825,*,FALSE,ok,""
own_muni__mayor__C3_FE_R0b,own_muni,mayor,4,C3_FE_R0b,2.27167814959293,0.0589775753668306,4,83416,89009,5570,0.00181747378010755,*,FALSE,ok,""
own_muni__gov__none,own_muni,gov,4,none,163.078828187256,2.39705224111091e-139,4,89004,89009,5570,0.025994721609942,***,TRUE,ok,""
own_muni__gov__C1_FE,own_muni,gov,4,C1_FE,4.98989220113288,0.0005091579236853,4,83420,89009,5570,0.000356507967703146,***,TRUE,ok,""
own_muni__gov__C2_FE_R0a,own_muni,gov,4,C2_FE_R0a,10.6698032979495,1.21215990344432e-08,4,83419,89009,5570,0.00191412923617462,***,TRUE,ok,""
own_muni__gov__C3_FE_R0b,own_muni,gov,4,C3_FE_R0b,10.5959702480369,1.39565853016033e-08,4,83416,89009,5570,0.00286998695405993,***,TRUE,ok,""
own_muni__mayor_gov__none,own_muni,mayor_gov,8,none,76.5594686130209,1.35997089995369e-126,8,89000,89009,5570,0.037598497694215,***,TRUE,ok,""
own_muni__mayor_gov__C1_FE,own_muni,mayor_gov,8,C1_FE,7.0142047371866,2.70102520272843e-09,8,83416,89009,5570,0.00105132384055051,***,TRUE,ok,""
own_muni__mayor_gov__C2_FE_R0a,own_muni,mayor_gov,8,C2_FE_R0a,7.75545408844081,1.8662884086057e-10,8,83414,89009,5570,0.00273707745131546,***,TRUE,ok,""
own_muni__mayor_gov__C3_FE_R0b,own_muni,mayor_gov,8,C3_FE_R0b,7.6633310421351,2.60529619078634e-10,8,83408,89009,5570,0.00385183578623904,***,TRUE,ok,""
own_muni__mayor_pres__none,own_muni,mayor_pres,8,none,157.705951894781,3.67898736156893e-265,8,89000,89009,5570,0.0436772030775598,***,TRUE,ok,""
own_muni__mayor_pres__C1_FE,own_muni,mayor_pres,8,C1_FE,4.34591231352566,2.95520783334881e-05,8,83416,89009,5570,0.00101135432257149,***,TRUE,ok,""
own_muni__mayor_pres__C2_FE_R0a,own_muni,mayor_pres,8,C2_FE_R0a,2.49915002205854,0.0103681678118539,8,83414,89009,5570,0.00224114314495449,**,TRUE,ok,""
own_muni__mayor_pres__C3_FE_R0b,own_muni,mayor_pres,8,C3_FE_R0b,2.37758921182448,0.0147571469011319,8,83408,89009,5570,0.00318420590660262,**,TRUE,ok,""
own_muni__mayor_gov_pres__none,own_muni,mayor_gov_pres,12,none,106.446324192904,3.29045847838327e-264,12,88996,89009,5570,0.0492446110199599,***,TRUE,ok,""
own_muni__mayor_gov_pres__C1_FE,own_muni,mayor_gov_pres,12,C1_FE,5.54028668660463,1.46215287708069e-09,12,83412,89009,5570,0.00144958750697988,***,TRUE,ok,""
own_muni__mayor_gov_pres__C2_FE_R0a,own_muni,mayor_gov_pres,12,C2_FE_R0a,5.77347670088063,4.40990689336177e-10,12,83410,89009,5570,0.0030902056729043,***,TRUE,ok,""
own_muni__mayor_gov_pres__C3_FE_R0b,own_muni,mayor_gov_pres,12,C3_FE_R0b,5.82662307553689,3.35210796975775e-10,12,83404,89009,5570,0.00419320467824369,***,TRUE,ok,""
owner_legacy__mayor__none,owner_legacy,mayor,4,none,123.184946804876,4.88608596758127e-105,4,89004,89009,5570,0.0199268501074241,***,TRUE,ok,""
owner_legacy__mayor__C1_FE,owner_legacy,mayor,4,C1_FE,3.45908887910927,0.00783943989735718,4,83420,89009,5570,0.000447565380097492,***,TRUE,ok,""
owner_legacy__mayor__C2_FE_R0a,owner_legacy,mayor,4,C2_FE_R0a,0.563942764071869,0.688833401489086,4,83419,89009,5570,0.00131351185121265,"",FALSE,ok,""
owner_legacy__mayor__C3_FE_R0b,owner_legacy,mayor,4,C3_FE_R0b,0.654737268779553,0.623471791378141,4,83416,89009,5570,0.00169830769532209,"",FALSE,ok,""
owner_legacy__gov__none,owner_legacy,gov,4,none,99.9334837584627,4.94526455215503e-85,4,89004,89009,5570,0.0138281833096805,***,TRUE,ok,""
owner_legacy__gov__C1_FE,owner_legacy,gov,4,C1_FE,4.47692605812545,0.00128740765535954,4,83420,89009,5570,0.000457350717319782,***,TRUE,ok,""
