world,beta,M_restricted,saturated,ch_M,ch_G,ch_P,ch_MG,ch_MP,ch_GP,ch_MGP
MxG only,0,0.034,0.0333333333333333,0.0406666666666667,0.0453333333333333,0.0533333333333333,0.0413333333333333,0.0386666666666667,0.0486666666666667,0.0426666666666667
MxG only,0.2,0.292,0.212666666666667,0.182,0.176666666666667,0.0513333333333333,0.46,0.096,0.0866666666666667,0.212666666666667
P only,0,0.058,0.062,0.046,0.0613333333333333,0.0413333333333333,0.0573333333333333,0.0366666666666667,0.0486666666666667,0.0506666666666667
P only,0.2,0.233333333333333,0.458,0.0533333333333333,0.0646666666666667,0.762666666666667,0.05,0.347333333333333,0.331333333333333,0.162666666666667
MxG and P,0,0.052,0.0526666666666667,0.042,0.058,0.05,0.052,0.0486666666666667,0.0526666666666667,0.0453333333333333
MxG and P,0.2,0.450666666666667,0.538,0.262666666666667,0.249333333333333,0.588,0.549333333333333,0.424666666666667,0.423333333333333,0.46
