beta,d_G,S0_mayor,S1_additive,S2_interaction,S3_main_inter,S4_crossoffice,S5_kitchensink,ch_M,ch_MG,ch_MP,ch_MGP,ch_G,ch_P
0,0,0.0475,0.0455,0.0535,0.042,0.043,0.0425,0.0475,0.0535,0.0445,0.0485,0.047,0.051
0,0.5,0.055,1,0.9975,1,0.9975,0.9885,0.055,0.9975,0.056,0.7985,1,0.0515
0,1,0.0435,1,1,1,1,1,0.0435,1,0.0405,0.9995,1,0.0475
