tier,row_weight,col_weight,rho
pres,w_emp_muni_univ,w_binary_empshare_floor,0.653694160232246
pres,w_emp_muni_univ,w_binary_muni_univ,0.660476666822228
pres,w_emp_muni_univ,w_emp_muni_univ,1
pres,w_emp_muni_univ,w_firm_empshare_floor,0.960535379494593
pres,w_emp_muni_univ,w_firm_muni_univ,0.765519330239355
pres,w_emp_muni_univ,w_owners_muni_univ,0.68958601632496
pres,w_firm_empshare_floor,w_binary_empshare_floor,0.766501202166422
pres,w_firm_empshare_floor,w_binary_muni_univ,0.75156288696535
pres,w_firm_empshare_floor,w_emp_muni_univ,0.960535379494593
pres,w_firm_empshare_floor,w_firm_empshare_floor,1
pres,w_firm_empshare_floor,w_firm_muni_univ,0.800155605666573
pres,w_firm_empshare_floor,w_owners_muni_univ,0.780656427042287
pres,w_firm_muni_univ,w_binary_empshare_floor,0.585663930833471
pres,w_firm_muni_univ,w_binary_muni_univ,0.824199646918581
pres,w_firm_muni_univ,w_emp_muni_univ,0.765519330239355
pres,w_firm_muni_univ,w_firm_empshare_floor,0.800155605666573
pres,w_firm_muni_univ,w_firm_muni_univ,1
pres,w_firm_muni_univ,w_owners_muni_univ,0.890241610492778
pres,w_owners_muni_univ,w_binary_empshare_floor,0.674521610609211
pres,w_owners_muni_univ,w_binary_muni_univ,0.828537178605647
pres,w_owners_muni_univ,w_emp_muni_univ,0.68958601632496
pres,w_owners_muni_univ,w_firm_empshare_floor,0.780656427042287
pres,w_owners_muni_univ,w_firm_muni_univ,0.890241610492778
pres,w_owners_muni_univ,w_owners_muni_univ,1
