sample,n_munis,n_obs,mean_share_overall,total_var,between_muni_var,within_muni_var,share_within,p10_sigma_within,med_sigma_within,p90_sigma_within
all,5291,51842,0.0582197850687378,0.0388128809611381,0.0181169205316701,0.0232991864206458,0.600295207252831,0,0,0.345183781071583
agro_having,891,12489,0.141883997969373,0.0807221921435846,0.034701917082191,0.0512509220290484,0.634904982980217,0.01,0.198513986285433,0.425266909061644
above_median,445,5551,0.256787572107832,0.134022036017765,0.0397383884014002,0.097685896401454,0.728879364200268,0.184822242605692,0.325919291901322,0.462910049886276
above_p25,668,8946,0.188789563942339,0.101754220750254,0.0371356603463942,0.0691394610427358,0.679475116933304,0.0652059869206218,0.269503235405433,0.444188191973184
