margin,denom,bin,n_obs,n_munis,n_munis_with_sigma,mean_share_overall,total_var,between_muni_var,within_muni_var,share_within,p10_sigma_within,med_sigma_within,p90_sigma_within
A2_size_x_sec,V2,A_1,45977,5200,4922,0.0291564861214804,0.0188779552607736,0.00848874969249136,0.0130707727563609,0.692382865400715,0,0,0.246281664872498
A2_size_x_sec,V2,A_2,45977,5200,4922,0.0283145449493254,0.0196837036515323,0.00861557720216247,0.0114801830916795,0.583232876033764,0,0,0.160267394764814
A2_size_x_sec,V2,B_1,45977,5200,4922,0.0188818788625351,0.0116294391818171,0.00706457111723208,0.00715936863618018,0.615624582084232,0,0,0.0915481965773945
A2_size_x_sec,V2,B_2,45977,5200,4922,0.00674100719037219,0.00439663860402048,0.00161401423148444,0.00276844881759412,0.62967395479413,0,0,0
A2_size_x_sec,V2,C_1,45977,5200,4922,0.121745613175414,0.0616262114313242,0.0295621525433113,0.0400817951218314,0.650401739631492,0,0.093347223474572,0.403879403700587
A2_size_x_sec,V2,C_2,45977,5200,4922,0.140337730152786,0.0779554065986745,0.0328017571203857,0.0397195283271746,0.509516017685039,0,0,0.356297415600078
A2_size_x_sec,V2,D_1,45977,5200,4922,0.00313098623638742,0.00252947145058123,0.00067676456163986,0.00202433779372176,0.80030070837787,0,0,0
A2_size_x_sec,V2,D_2,45977,5200,4922,0.00148749659270095,0.00103951790847365,0.000182796480088891,0.00086227208991653,0.829492289538929,0,0,0
A2_size_x_sec,V2,E_1,45977,5200,4922,0.00380338270351264,0.00188880996062999,0.000630937637612032,0.00150659937434887,0.79764476350303,0,0,0.00718061935025405
A2_size_x_sec,V2,E_2,45977,5200,4922,0.00282765437258634,0.00159125734316089,0.000303528143412723,0.00128938040391578,0.810290308765861,0,0,0
A2_size_x_sec,V2,F_1,45977,5200,4922,0.0293312875992886,0.0150480166939087,0.00766766238611947,0.0106315041429272,0.706505339486415,0,0,0.193862634898835
A2_size_x_sec,V2,F_2,45977,5200,4922,0.0131489131728108,0.00679901158585394,0.00220099391466965,0.00475439855889271,0.699277902215189,0,0,0.0475953005688106
