porte_row_3,porte_label,a4_col_3,a4_label,n_unweighted,sum_value,row_pct_uw,row_pct_vw
1,MPME,1,A4_1_MPME,395319,270739312110.593,0.947085092212378,0.705773638832863
1,MPME,2,A4_2_Media,21956,49747396097.3379,0.0526010646708481,0.129683423114172
1,MPME,3,A4_3_Grande,131,63119730477.3029,0.000313843116773597,0.164542938052965
2,Media,1,A4_1_MPME,25197,354459068408.782,0.424177637116595,0.465046345519932
2,Media,2,A4_2_Media,31784,359400766657.422,0.535066159388573,0.471529798522019
2,Media,3,A4_3_Grande,2421,48341764459.2999,0.0407562034948318,0.0634238559580487
3,Grande,1,A4_1_MPME,5208,11338335627571.4,0.190692395005675,0.204412112207021
3,Grande,2,A4_2_Media,12600,14102538168862.2,0.461352568562118,0.254246276461189
3,Grande,3,A4_3_Grande,9503,30027148646817.3,0.347955036432207,0.54134161133179
