option,size_bin,bin_label,n_cells_total,n_cells_with_borrower,share_cells_with_borrower,share_munis_with_bin_borrower_med,n_borrowers_p10,n_borrowers_p50,n_borrowers_p90,share_thin,structurally_thin
A3,1,MPME,826297,119848,0.145042278986853,0.118340128108833,1,1,8,0.814373206061011,FALSE
A3,2,Media,372770,39863,0.106937253534351,0.0981463315757063,1,1,5,0.894614053131977,TRUE
A3,3,Grande,420758,18035,0.0428631184671474,0.0443973704416246,1,1,3,0.96024397005822,TRUE
