porte_3,a4_3,N,V,row_pct_uw,row_pct_vw
MPME,1,305417,96397675604.4369,0.84451222041261,0.334703572893476
MPME,2,53277,31730224518.6721,0.147316873543132,0.110170908670986
Media,1,30131,63469042176.1683,0.192877901394206,0.169967350844523
Media,2,104773,207519399499.957,0.670684556197109,0.555727979696813
Grande,2,58002,6582592754649.5,0.258318228176203,0.207537593048055
Grande,1,10356,2683110388625.27,0.0461215746179917,0.084593760041467
Media,3,21314,102430581805.782,0.136437542408685,0.274304669458664
Grande,3,156179,22451889115421.8,0.695560197205806,0.707868646910479
MPME,3,2955,159881202292.767,0.00817090604425838,0.555125518435538
