option,year_from,year_to,bin_from,bin_to,N
A4,2005,2006,4,1,23
A4,2003,2004,1,3,565
A4,2014,2015,1,3,603
A4,2006,2007,4,1,25
A4,2005,2006,3,1,969
A4,2006,2007,1,3,802
A4,2016,2017,1,3,727
A4,2002,2003,4,2,32
A4,2014,2015,4,2,42
A4,2004,2005,1,3,604
A4,2015,2016,2,4,18
A4,2003,2004,4,1,26
A4,2011,2012,1,3,991
A4,2008,2009,1,4,33
A4,2016,2017,4,2,35
A4,2005,2006,4,2,42
A4,2004,2005,4,2,32
A4,2013,2014,4,2,43
A4,2010,2011,4,2,47
A4,2013,2014,4,1,36
A4,2007,2008,4,1,16
A4,2014,2015,4,1,24
A4,2015,2016,1,3,557
A4,2006,2007,2,4,31
A4,2007,2008,2,4,37
A4,2002,2003,2,4,21
A4,2009,2010,4,2,40
A4,2006,2007,1,4,30
A4,2004,2005,2,4,29
A4,2015,2016,4,1,37
A4,2012,2013,4,2,49
A4,2002,2003,1,4,25
A4,2003,2004,2,4,29
A4,2003,2004,1,4,23
A4,2004,2005,1,4,23
A4,2005,2006,2,4,27
A4,2005,2006,1,4,22
A4,2007,2008,1,4,21
A4,2008,2009,2,4,34
A4,2009,2010,2,4,32
A4,2009,2010,1,4,27
A4,2010,2011,2,4,21
A4,2010,2011,1,4,28
A4,2011,2012,2,4,32
A4,2011,2012,1,4,34
A4,2012,2013,2,4,32
A4,2012,2013,1,4,33
A4,2013,2014,2,4,26
A4,2013,2014,1,4,35
A4,2014,2015,2,4,24
A4,2014,2015,1,4,29
A4,2015,2016,1,4,22
A4,2016,2017,2,4,27
A4,2016,2017,1,4,28
A4,2011,2012,4,2,43
A4,2003,2004,4,2,27
A4,2008,2009,4,2,32
A4,2004,2005,4,1,18
A4,2008,2009,4,1,23
A4,2015,2016,4,2,45
A4,2010,2011,4,1,29
A4,2012,2013,4,1,28
A4,2009,2010,4,1,33
A4,2002,2003,4,1,20
A4,2016,2017,4,1,16
