option,denom,n_bins,n_supported,max_share_within,mean_share_within,med_share_within,max_med_sigma,med_med_sigma,verdict
policy_block_A2,V1,8,3,0.691181318082965,0.615343169886284,0.627823212662219,0.30237822853589,0,SUPPORTED
policy_block_A2,V2,8,3,0.692382865400715,0.616808809580609,0.629199301716759,0.302255629612549,0,SUPPORTED
policy_block_A3,V1,12,3,0.731559249078651,0.641963260877347,0.641720963712749,0.301581587312927,0,SUPPORTED
policy_block_A3,V2,12,3,0.733251733033097,0.643239117899094,0.643185246365951,0.300719757499356,0,SUPPORTED
