option,year_from,year_to,bin_from,bin_to,N
A3,2002,2003,3,3,5947
A3,2003,2004,3,3,6334
A3,2004,2005,3,3,6694
A3,2005,2006,3,3,7114
A3,2006,2007,3,3,7634
A3,2007,2008,3,3,8108
A3,2008,2009,3,3,8401
A3,2009,2010,3,3,8852
A3,2010,2011,3,3,9379
A3,2011,2012,3,3,9601
A3,2012,2013,3,3,9828
A3,2013,2014,3,3,10071
A3,2014,2015,3,3,10013
A3,2015,2016,3,3,9582
A3,2016,2017,3,3,9460
A3,2002,2003,1,1,1324802
A3,2003,2004,1,1,1384692
A3,2004,2005,1,1,1454155
A3,2005,2006,1,1,1531364
A3,2006,2007,1,1,1588198
A3,2007,2008,1,1,1650411
A3,2008,2009,1,1,1738353
A3,2009,2010,1,1,1838433
A3,2010,2011,1,1,1947499
A3,2011,2012,1,1,2067886
A3,2012,2013,1,1,2152014
A3,2013,2014,1,1,2246770
A3,2014,2015,1,1,2310687
A3,2015,2016,1,1,2308804
A3,2016,2017,1,1,2285836
A3,2002,2003,2,2,43232
A3,2003,2004,2,2,45152
A3,2004,2005,2,2,47114
A3,2005,2006,2,2,49356
A3,2006,2007,2,2,51946
A3,2007,2008,2,2,54995
A3,2008,2009,2,2,57549
A3,2009,2010,2,2,60661
A3,2010,2011,2,2,64444
A3,2011,2012,2,2,67022
A3,2012,2013,2,1,9816
A3,2003,2004,2,1,5335
A3,2012,2013,2,2,68743
A3,2002,2003,1,2,6905
A3,2013,2014,2,2,70047
A3,2011,2012,1,2,11409
A3,2002,2003,2,1,6036
A3,2008,2009,1,2,10216
A3,2011,2012,2,1,9633
A3,2015,2016,2,2,65704
A3,2016,2017,2,1,9393
A3,2009,2010,2,1,7231
A3,2009,2010,1,2,12188
A3,2014,2015,2,2,68694
A3,2016,2017,2,2,64244
A3,2003,2004,2,3,764
A3,2007,2008,2,1,7289
A3,2016,2017,1,2,8657
A3,2013,2014,2,1,10405
A3,2005,2006,2,1,6136
A3,2006,2007,1,2,10142
A3,2010,2011,2,1,8780
A3,2004,2005,2,1,6078
A3,2005,2006,1,2,8738
A3,2013,2014,1,2,10441
A3,2012,2013,1,2,11545
A3,2015,2016,2,1,11882
A3,2002,2003,2,3,698
A3,2003,2004,3,2,365
A3,2008,2009,2,3,1089
A3,2011,2012,3,2,905
A3,2012,2013,2,3,1111
A3,2015,2016,3,2,1052
A3,2016,2017,2,3,802
A3,2008,2009,2,1,7772
A3,2014,2015,2,1,12343
A3,2010,2011,1,2,11670
A3,2007,2008,1,2,10187
A3,2003,2004,1,2,8207
A3,2007,2008,2,3,937
A3,2011,2012,3,1,77
A3,2013,2014,3,2,858
A3,2014,2015,2,3,628
A3,2004,2005,1,2,8273
A3,2013,2014,2,3,911
A3,2006,2007,2,1,6067
A3,2014,2015,1,2,8415
A3,2004,2005,3,2,429
A3,2011,2012,2,3,945
A3,2012,2013,3,2,734
A3,2007,2008,3,1,49
A3,2015,2016,1,2,7540
A3,2014,2015,3,2,992
A3,2002,2003,3,2,427
A3,2005,2006,2,3,948
A3,2009,2010,2,3,1148
A3,2010,2011,3,2,641
A3,2016,2017,3,2,640
A3,2010,2011,2,3,1099
A3,2006,2007,3,2,438
A3,2006,2007,2,3,1029
A3,2005,2006,3,2,469
A3,2004,2005,2,3,900
A3,2008,2009,3,2,633
A3,2006,2007,3,1,66
A3,2007,2008,3,2,574
A3,2009,2010,3,2,633
A3,2015,2016,2,3,536
A3,2005,2006,3,1,65
A3,2002,2003,3,1,52
A3,2014,2015,3,1,66
A3,2015,2016,1,3,40
A3,2003,2004,3,1,53
A3,2008,2009,1,3,67
A3,2016,2017,3,1,51
A3,2004,2005,3,1,50
A3,2013,2014,3,1,79
A3,2010,2011,3,1,76
A3,2006,2007,1,3,61
A3,2007,2008,1,3,58
A3,2002,2003,1,3,46
A3,2009,2010,3,1,73
A3,2004,2005,1,3,52
A3,2015,2016,3,1,82
A3,2012,2013,3,1,77
A3,2003,2004,1,3,52
A3,2005,2006,1,3,49
A3,2009,2010,1,3,59
A3,2010,2011,1,3,49
A3,2011,2012,1,3,66
A3,2012,2013,1,3,65
A3,2013,2014,1,3,61
A3,2014,2015,1,3,53
A3,2016,2017,1,3,55
A3,2008,2009,3,1,55
