option,denom,bin,cnae_section,size_bin_int,n_munis_with_sigma,mean_share_overall,share_within,round1_share_within,delta_share_within,med_sigma_within,round1_med_sigma_within,delta_med_sigma_within,round1_n_munis,round1_mean_share
A2,V2,A_1,A,1,4922,0.0291564861214804,0.692382865400715,0.600295207252831,0.0920876581478842,0,0,0,5291,0.0582197850687378
A2,V2,A_2,A,2,4922,0.0283145449493254,0.583232876033764,0.600295207252831,-0.0170623312190666,0,0,0,5291,0.0582197850687378
A2,V2,B_1,B,1,4922,0.0188818788625351,0.615624582084232,0.62743351511756,-0.0118089330333279,0,0,0,5291,0.0230279056670227
A2,V2,B_2,B,2,4922,0.00674100719037219,0.62967395479413,0.62743351511756,0.0022404396765705,0,0,0,5291,0.0230279056670227
A2,V2,C_1,C,1,4922,0.121745613175414,0.650401739631492,0.583104004312045,0.0672977353194474,0.093347223474572,0.237903706554645,-0.144556483080073,5291,0.261916483669941
A2,V2,C_2,C,2,4922,0.140337730152786,0.509516017685039,0.583104004312045,-0.0735879866270059,0,0.237903706554645,-0.237903706554645,5291,0.261916483669941
A2,V2,D_1,D,1,4922,0.00313098623638742,0.80030070837787,0.808023754117992,-0.00772304574012184,0,0,0,5291,0.00586952372630549
A2,V2,D_2,D,2,4922,0.00148749659270095,0.829492289538929,0.808023754117992,0.0214685354209366,0,0,0,5291,0.00586952372630549
A2,V2,E_1,E,1,4922,0.00380338270351264,0.79764476350303,0.813833396851068,-0.0161886333480381,0,0,0,5291,0.00764807540726763
A2,V2,E_2,E,2,4922,0.00282765437258634,0.810290308765861,0.813833396851068,-0.0035430880852072,0,0,0,5291,0.00764807540726763
A2,V2,F_1,F,1,4922,0.0293312875992886,0.706505339486415,0.726906741214978,-0.0204014017285632,0,0.00159789196702261,-0.00159789196702261,5291,0.0397551545643194
A2,V2,F_2,F,2,4922,0.0131489131728108,0.699277902215189,0.726906741214978,-0.0276288389997886,0,0.00159789196702261,-0.00159789196702261,5291,0.0397551545643194
A2,V2,G_1,G,1,4922,0.289755364923214,0.530139067491666,0.576475757478524,-0.0463366899868583,0.281418172383748,0.308653417790661,-0.0272352454069131,5291,0.312272618926921
A2,V2,G_2,G,2,4922,0.0417792384436312,0.667560433724707,0.576475757478524,0.0910846762461832,0,0.308653417790661,-0.308653417790661,5291,0.312272618926921
A2,V2,H_1,H,1,4922,0.168389936731311,0.640169767618107,0.693033145890956,-0.0528633782728488,0.147714255166266,0.222879336371674,-0.0751650812054079,5291,0.210073298742009
A2,V2,H_2,H,2,4922,0.0352502189044401,0.627748040829552,0.693033145890956,-0.0652851050614041,0,0.222879336371674,-0.222879336371674,5291,0.210073298742009
A2,V2,I_1,I,1,4922,0.00458812282903548,0.837150198691947,0.829076885653674,0.00807331303827341,0,0,0,5291,0.00586447872063387
A2,V2,I_2,I,2,4922,0.00066666933469145,0.605712016390841,0.829076885653674,-0.223364869262833,0,0,0,5291,0.00586447872063387
A2,V2,J_1,J,1,4922,0.014390497335316,0.883350667941924,0.855656592659921,0.0276940752820032,0,0,0,5291,0.0317168076489442
A2,V2,J_2,J,2,4922,0.00733626398199536,0.841990029793533,0.855656592659921,-0.0136665628663877,0,0,0,5291,0.0317168076489442
A2,V2,L_1,L,1,4922,0.00124190434888847,0.803507473401662,0.83219554551722,-0.0286880721155584,0,0,0,5291,0.00171599364811999
A2,V2,L_2,L,2,4922,0.000142417712115234,0.905539561604438,0.83219554551722,0.0733440160872175,0,0,0,5291,0.00171599364811999
A2,V2,M_1,M,1,4922,0.00295468004263012,0.847406447605324,0.830944168151758,0.0164622794535658,0,0,0,5291,0.00612312228039493
A2,V2,M_2,M,2,4922,0.00164530554957479,0.789686106500939,0.830944168151758,-0.0412580616508187,0,0,0,5291,0.00612312228039493
A2,V2,N_1,N,1,4922,0.0148487701162298,0.713712064067404,0.728079687434887,-0.0143676233674829,0,0,0,5291,0.019132383612102
A2,V2,N_2,N,2,4922,0.00292549408499802,0.797427222844519,0.728079687434887,0.0693475354096316,0,0,0,5291,0.019132383612102
A2,V2,P_1,P,1,4922,0.00169398780008089,0.826586062844072,0.874488623647596,-0.0479025608035242,0,0,0,5291,0.00267558914906056
A2,V2,P_2,P,2,4922,0.000829889365083297,0.876319032004421,0.874488623647596,0.00183040835682502,0,0,0,5291,0.00267558914906056
A2,V2,Q_1,Q,1,4922,0.00143717762616465,0.88225764473562,0.88428898611985,-0.00203134138423056,0,0,0,5291,0.00236423303256714
A2,V2,Q_2,Q,2,4922,0.00104176206904225,0.889513117383257,0.88428898611985,0.0052241312634066,0,0,0,5291,0.00236423303256714
A2,V2,R_1,R,1,4922,0.00129385877283699,0.854559886517361,0.875864371342705,-0.0213044848253439,0,0,0,5291,0.00291356441032389
A2,V2,R_2,R,2,4922,0.000792029308280402,0.885090923501841,0.875864371342705,0.00922655215913626,0,0,0,5291,0.00291356441032389
A2,V2,S_1,S,1,4922,0.00154294446962341,0.828359327962731,0.858059905960133,-0.0297005779974023,0,0,0,5291,0.00187911980717753
A2,V2,S_2,S,2,4922,0.000394344506135413,0.829923653148675,0.858059905960133,-0.0281362528114578,0,0,0,5291,0.00187911980717753
