option,cycle_from,cycle_to,bin_from,bin_to,N
A4,2005,2007,4,4,7927
A4,2005,2007,1,1,4914424
A4,2005,2007,2,2,447531
A4,2005,2007,3,3,72214
A4,2005,2007,3,2,3244
A4,2005,2007,1,2,23762
A4,2005,2007,2,1,12361
A4,2005,2007,2,3,5072
A4,2005,2007,3,4,620
A4,2005,2007,1,3,268
A4,2005,2007,4,3,245
A4,2005,2007,2,4,21
A4,2005,2007,1,4,21
A4,2007,2009,4,4,8198
A4,2007,2009,1,1,4873142
A4,2007,2009,2,2,437089
A4,2007,2009,3,3,71144
A4,2007,2009,3,2,4852
A4,2007,2009,2,1,25398
A4,2007,2009,1,2,42202
A4,2007,2009,3,4,1218
A4,2007,2009,2,3,9663
A4,2007,2009,4,2,14
A4,2007,2009,1,3,405
A4,2007,2009,4,3,364
A4,2007,2009,3,1,567
A4,2007,2009,2,4,19
A4,2007,2009,1,4,19
A4,2007,2009,4,1,15
A4,2009,2011,4,4,8958
A4,2009,2011,1,1,4843097
A4,2009,2011,2,2,448187
A4,2009,2011,3,3,74377
A4,2009,2011,2,1,28173
A4,2009,2011,3,1,646
A4,2009,2011,1,2,47008
A4,2009,2011,2,3,10892
A4,2009,2011,3,4,1366
A4,2009,2011,3,2,5345
A4,2009,2011,4,3,460
A4,2009,2011,4,1,20
A4,2009,2011,1,3,513
A4,2009,2011,2,4,21
A4,2009,2011,1,4,20
A4,2009,2011,4,2,26
A4,2011,2013,4,4,9809
A4,2011,2013,1,1,4807659
A4,2011,2013,2,2,460493
A4,2011,2013,3,3,78412
A4,2011,2013,2,3,12256
A4,2011,2013,3,2,5847
A4,2011,2013,1,2,53999
A4,2011,2013,2,1,31808
A4,2011,2013,3,1,762
A4,2011,2013,3,4,1435
A4,2011,2013,4,2,16
A4,2011,2013,4,3,530
A4,2011,2013,1,3,604
A4,2011,2013,4,1,13
A4,2011,2013,2,4,27
A4,2011,2013,1,4,27
A4,2013,2015,4,4,10612
A4,2013,2015,1,1,4774075
A4,2013,2015,2,2,475302
A4,2013,2015,3,3,82962
A4,2013,2015,1,2,55341
A4,2013,2015,3,2,6933
A4,2013,2015,2,1,36422
A4,2013,2015,2,3,12413
A4,2013,2015,4,3,637
A4,2013,2015,3,4,1317
A4,2013,2015,1,3,691
A4,2013,2015,3,1,785
A4,2013,2015,2,4,22
A4,2013,2015,1,4,35
A4,2013,2015,4,2,29
A4,2013,2015,4,1,28
A4,2015,2017,4,4,11064
A4,2015,2017,1,1,4752343
A4,2015,2017,2,2,485900
A4,2015,2017,3,3,85970
A4,2015,2017,1,2,49932
A4,2015,2017,2,1,44049
A4,2015,2017,3,2,8897
A4,2015,2017,2,3,10650
A4,2015,2017,3,1,986
A4,2015,2017,3,4,1036
A4,2015,2017,4,3,873
A4,2015,2017,1,3,518
A4,2015,2017,4,1,25
A4,2015,2017,4,2,27
A4,2015,2017,2,4,12
A4,2015,2017,1,4,23
