margin,denom,bin,n_obs,n_munis,n_munis_with_sigma,mean_share_overall,total_var,between_muni_var,within_muni_var,share_within,p10_sigma_within,med_sigma_within,p90_sigma_within
A3_size_x_sec,V2,A_1,46141,5200,4926,0.0294013822565404,0.0189955689991399,0.00863980782652688,0.0131256062500665,0.690982526012294,0,0,0.248624335838213
A3_size_x_sec,V2,A_2,46141,5200,4926,0.0184773869881364,0.0127079623186615,0.00519871958007883,0.00804649133325643,0.63318501672296,0,0,0.0663303148627284
A3_size_x_sec,V2,A_3,46141,5200,4926,0.00955329138776886,0.00670945969699292,0.00260794944044917,0.00423463068882475,0.631143323019386,0,0,0
A3_size_x_sec,V2,B_1,46141,5200,4926,0.0190280089568336,0.0116288979565068,0.00704306444026606,0.00714647935909511,0.614544850752294,0,0,0.0929720290218975
A3_size_x_sec,V2,B_2,46141,5200,4926,0.00495344332835667,0.003040105671494,0.00121021869379113,0.0018957246043895,0.623571944279781,0,0,0
A3_size_x_sec,V2,B_3,46141,5200,4926,0.00171256578335033,0.00125808132652085,0.000350980077563085,0.000845305338258897,0.67190039343207,0,0,0
A3_size_x_sec,V2,C_1,46141,5200,4926,0.122407594761195,0.061506664975579,0.0294344049358399,0.0399439033432854,0.64942398289917,0,0.0946805375720962,0.402314847045877
A3_size_x_sec,V2,C_2,46141,5200,4926,0.0836805875875129,0.0450020520683007,0.0158897856494688,0.0278354274222875,0.618536847609549,0,0,0.316227766016838
A3_size_x_sec,V2,C_3,46141,5200,4926,0.0553584772778273,0.0363884258901794,0.0129885670160383,0.0193331534325068,0.531299526142034,0,0,0.266981753960784
A3_size_x_sec,V2,D_1,46141,5200,4926,0.0031209291110146,0.00251663841447818,0.000662949589706664,0.00201898546111048,0.80225488472849,0,0,0
A3_size_x_sec,V2,D_2,46141,5200,4926,0.000937443614545416,0.000640201517240647,0.000144937386210812,0.000521979620831564,0.815336432005605,0,0,0
A3_size_x_sec,V2,D_3,46141,5200,4926,0.00054221450743523,0.000395013487866681,3.73373979963915e-05,0.000337295046349635,0.853882352653927,0,0,0
A3_size_x_sec,V2,E_1,46141,5200,4926,0.00380616037675721,0.00188997400611126,0.000596870468988446,0.00152326289869065,0.805970290472334,0,0,0.00733335345901101
A3_size_x_sec,V2,E_2,46141,5200,4926,0.00241312172688234,0.00139007738120369,0.000286350475013152,0.0011132291542312,0.800839700928905,0,0,0
A3_size_x_sec,V2,E_3,46141,5200,4926,0.000391785492326262,0.000187502491383073,1.3148310264881e-05,0.000168736060940918,0.8999137008595,0,0,0
A3_size_x_sec,V2,F_1,46141,5200,4926,0.0293198062376323,0.0149177727784376,0.00765049432992944,0.0105287303569136,0.705784336126366,0,0,0.19037332047601
A3_size_x_sec,V2,F_2,46141,5200,4926,0.0103496917216976,0.00518929329880367,0.00166621162652554,0.00379044469457493,0.730435625106944,0,0,0.0325063528392821
A3_size_x_sec,V2,F_3,46141,5200,4926,0.002661136134501,0.00145482620698763,0.000334194997825772,0.00106502999568023,0.732066820466126,0,0,0
A3_size_x_sec,V2,G_1,46141,5200,4926,0.291137495441923,0.135641050758175,0.0968225619703312,0.0717972548648919,0.529318038039193,0,0.279888871354672,0.494401120086416
A3_size_x_sec,V2,G_2,46141,5200,4926,0.0273376881270232,0.0138782734563566,0.00389495506335937,0.00977210295517801,0.704129586861697,0,0,0.144578179543951
A3_size_x_sec,V2,G_3,46141,5200,4926,0.0139230494407179,0.00904375644812444,0.00254113136566856,0.00619766945866562,0.685298138468881,0,0,0.0370200809459668
A3_size_x_sec,V2,H_1,46141,5200,4926,0.168613301520669,0.0785357079425543,0.0343309939065284,0.0502355373868213,0.639652187557366,0,0.148291707278905,0.408248290463863
A3_size_x_sec,V2,H_2,46141,5200,4926,0.0255917673962468,0.0125056709207695,0.00366068888871907,0.00876399274251743,0.700801484226019,0,0,0.127912193929046
A3_size_x_sec,V2,H_3,46141,5200,4926,0.00928364975463459,0.0045292849314674,0.00110294946418232,0.0029375737302089,0.648573400582502,0,0,0
A3_size_x_sec,V2,I_1,46141,5200,4926,0.00462313108378946,0.00247666263088459,0.000666249797758337,0.00208241804133075,0.840816191661509,0,0,0.0173376143128096
A3_size_x_sec,V2,I_2,46141,5200,4926,0.000450207413746723,0.000159840234400396,2.12733519068407e-05,0.000133668981182204,0.836266173430191,0,0,0
A3_size_x_sec,V2,I_3,46141,5200,4926,0.000206739788655095,0.000163671967328336,0.000128061623743116,6.07422396109131e-05,0.371121827411413,0,0,0
A3_size_x_sec,V2,J_1,46141,5200,4926,0.014556978514106,0.00907967238078533,0.00119183337660059,0.00802238858547532,0.883554851874671,0,0,0.120690050631087
A3_size_x_sec,V2,J_2,46141,5200,4926,0.00565110834205621,0.00381886757947259,0.0014370089459901,0.00319275325818562,0.836047124374645,0,0,0.00407130695613694
A3_size_x_sec,V2,J_3,46141,5200,4926,0.00164022844225665,0.000913942917423325,7.12302753283512e-05,0.000804976600755033,0.880773389025761,0,0,0
A3_size_x_sec,V2,L_1,46141,5200,4926,0.00125731276854783,0.000752187143773134,0.000383067337361641,0.000604787655180429,0.80403880894146,0,0,0
A3_size_x_sec,V2,L_2,46141,5200,4926,0.000119923744524335,6.8538423922835e-05,4.59174684865438e-06,6.16029171206926e-05,0.898808487193244,0,0,0
A3_size_x_sec,V2,L_3,46141,5200,4926,2.13879796118643e-05,2.09798845149605e-05,9.49795854738106e-07,1.94817459843218e-05,0.928591669340677,0,0,0
A3_size_x_sec,V2,M_1,46141,5200,4926,0.00296011287377902,0.00146293285096285,0.000340588066129701,0.00123704456186807,0.845592168535895,0,0,0.00634276606060624
A3_size_x_sec,V2,M_2,46141,5200,4926,0.00101444133097976,0.000550661756147793,0.000116837665713252,0.000450682473883972,0.818437940990791,0,0,0
A3_size_x_sec,V2,M_3,46141,5200,4926,0.000612735956202243,0.000419051941610647,7.77219778595187e-05,0.000329581316223481,0.786492755424826,0,0,0
A3_size_x_sec,V2,N_1,46141,5200,4926,0.0148958277552211,0.00779141105083503,0.00383368546251175,0.00553242144645867,0.71006668886578,0,0,0.0771611306367107
A3_size_x_sec,V2,N_2,46141,5200,4926,0.00184549699273813,0.000898210711219879,0.000130920674366704,0.000730264470803095,0.813021334171475,0,0,0
A3_size_x_sec,V2,N_3,46141,5200,4926,0.00105557427959156,0.000505099455144762,6.69435336129932e-05,0.000408073270148494,0.807906771611028,0,0,0
A3_size_x_sec,V2,P_1,46141,5200,4926,0.00167420309773755,0.00073024357149618,0.000361059052586895,0.000602167541623161,0.824611903654822,0,0,0.00461757166419028
A3_size_x_sec,V2,P_2,46141,5200,4926,0.000451123784187675,0.000206086357260841,2.17013401890762e-05,0.000179305511237365,0.87005036927515,0,0,0
A3_size_x_sec,V2,P_3,46141,5200,4926,0.000371741869275218,0.0001954937942935,1.39479442636231e-05,0.000173871109099965,0.889394518779084,0,0,0
