group,n,mean_value,median_value,p10,p25,p75,p90,p99,total_value
matched,800189,40556454.4752798,216966.399962227,39539.9662349144,102125.290065182,447939.228731812,1062046.0797852,15802497.1317654,32452828750119.7
unmatched,853121,39385057.1952802,190784.986950172,36803.5770222595,93338.6141239711,359863.60563011,686626.769475849,9535414.6605326,33600219379494.6
