denom,bin,n_obs,n_munis,mean_share_overall,total_var,within_muni_var,between_muni_var,share_within,p10_sigma_within,med_sigma_within,p90_sigma_within,n_munis_with_sigma
V1,Agro_1,46032,5198,0.0296748731541955,0.0192420921251941,0.013272381635697,0.00877399834215957,0.689757722255117,0,0,0.255761550349965,4922
V1,Agro_2,46032,5198,0.0186102085082594,0.0128290090779196,0.00809349126747685,0.00530211619543167,0.63087423341268,0,0,0.0667099793232969,4922
V1,Agro_3,46032,5198,0.00959273056168467,0.00673967919866925,0.00425124076691588,0.00262025359868976,0.63077791117347,0,0,0,4922
V1,Ind_1,46032,5198,0.142332016610527,0.0710751496260749,0.0448552081877537,0.0362740497265495,0.631095515433117,0,0.120187304383765,0.414481710917113,4922
V1,Ind_2,46032,5198,0.0891724376863245,0.0479422456355918,0.0292464201528028,0.0174724173825931,0.610034422982695,0,0,0.323930663684361,4922
V1,Ind_3,46032,5198,0.0573930749929727,0.0377001490905227,0.0202201806112526,0.0133659912062766,0.536342192247077,0,0,0.273353924068289,4922
V1,Infra_1,46032,5198,0.206152987378362,0.0920793244148145,0.0600676169006867,0.0411924158475146,0.652346411992381,0,0.204154073774389,0.433980671433526,4922
V1,Infra_2,46032,5198,0.0395742849662093,0.0198720599734084,0.0138184982317069,0.00614950550613716,0.695373214966034,0,0,0.208759541970176,4922
V1,Infra_3,46032,5198,0.0129740090359136,0.00673784502328452,0.00443629054683374,0.00165205314294301,0.658413859550477,0,0,0.0148802636110696,4922
V1,Serv_1,46032,5198,0.337235801721736,0.144316794280136,0.079410849025567,0.0958775849288453,0.550253693076228,0,0.301581587312927,0.49272870301171,4922
V1,Serv_2,46032,5198,0.0380684922571827,0.0199082393147026,0.0145640566035419,0.00585380498822069,0.731559249078651,0,0,0.227167023977168,4922
V1,Serv_3,46032,5198,0.0192190831266336,0.0121976531194292,0.00837650291824747,0.00348007816242973,0.686730704360237,0,0,0.100862196526722,4922
