cnae_section,cnae_section_label,policy_block,n_firm_years,n_firms,total_employment,n_bndes_firm_years,total_bndes_value,pct_firm_years,pct_employment,pct_bndes_value
K,Finance & Insurance,XX,530412,63726,14084286,2470,711738800433.098,1.20053221485374,2.17936321791566,3.05832513915806
O,Public Administration,XX,186728,20165,103207091,8,8016227.10479746,0.422639343407028,15.9699780275318,3.44455421860998e-05
T,Domestic Services,XX,37274,3936,130908,13,4230227.92624983,0.084365809552684,0.0202563395922877,1.81771914125601e-05
U,International Organizations,XX,4284,1053,68513,19,720080034.53771,0.00969638697547079,0.0106015109426957,0.0030941672288941
