margin,denom,bin,n_obs,n_munis,n_munis_with_sigma,mean_share_overall,total_var,between_muni_var,within_muni_var,share_within,p10_sigma_within,med_sigma_within,p90_sigma_within
cnae_section,V1,A,51706,5290,5042,0.0587991682243287,0.0393546480954216,0.0185208129750744,0.0234883379081661,0.596837706469003,0,0,0.348356688435468
cnae_section,V1,B,51706,5290,5042,0.0231484531094211,0.0143457971970128,0.00769957088668286,0.00900303420597395,0.627572945743901,0,0,0.130254396071473
cnae_section,V1,C,51706,5290,5042,0.263675402706067,0.121230090090475,0.0549644853626264,0.0705765892816674,0.582170558720164,0,0.239239301495886,0.436320731815738
cnae_section,V1,D,51706,5290,5042,0.00589144999770434,0.0046622085767721,0.0012565482892116,0.00376542552209858,0.807648448175089,0,0,0
cnae_section,V1,E,51706,5290,5042,0.00768340930110035,0.00424354404925586,0.00097873144487696,0.00345128792779661,0.813303193683549,0,0,0.023488702829296
cnae_section,V1,F,51706,5290,5042,0.039971394445605,0.0204186456618185,0.00852494228454946,0.0148322754908499,0.726408388514486,0,0.00163042829422717,0.254773245026278
cnae_section,V1,G,51706,5290,5042,0.314177034496556,0.140982523868442,0.0914731333406821,0.080977389599745,0.574378918590713,0.00937280338118783,0.308588682570358,0.493340820304074
cnae_section,V1,H,51706,5290,5042,0.211735688585611,0.0959582891943905,0.0362742737576869,0.0664845269705565,0.692848189861674,0,0.224251738396391,0.428585620457708
cnae_section,V1,I,51706,5290,5042,0.00589487360154203,0.00321626485613412,0.000852713362159886,0.00266405418592501,0.828306841970452,0,0,0.025980743158835
cnae_section,V1,J,51706,5290,5042,0.0319904483184356,0.0204831816323735,0.00341172038025598,0.0175122395855427,0.854957003255038,0,0,0.257847603902338
cnae_section,V1,K,,,,,,,,,,,
cnae_section,V1,L,51706,5290,5042,0.00172279221591751,0.00101832136232192,0.000407932510982214,0.000847477113263276,0.832229534428017,0,0,0
cnae_section,V1,M,51706,5290,5042,0.0061740972680496,0.00344932386359635,0.000726294849028474,0.00286182493101696,0.829677074171039,0,0,0.0199753991244418
cnae_section,V1,N,51706,5290,5042,0.0192168634164922,0.0100058478810531,0.00502450266449809,0.00728048987735897,0.727623482178375,0,0,0.133148562737367
cnae_section,V1,O,,,,,,,,,,,
