option,denom,bin,cnae_section,size_bin_int,n_munis_with_sigma,mean_share_overall,share_within,round1_share_within,delta_share_within,med_sigma_within,round1_med_sigma_within,delta_med_sigma_within,round1_n_munis,round1_mean_share
A2,V1,A_1,A,1,4918,0.029432821053269,0.691181318082965,0.596837706469003,0.0943436116139614,0,0,0,5290,0.0587991682243287
A2,V1,A_2,A,2,4918,0.0284891093284165,0.581199754859355,0.596837706469003,-0.0156379516096479,0,0,0,5290,0.0587991682243287
A2,V1,B_1,B,1,4918,0.0189747415155501,0.615900437886765,0.627572945743901,-0.0116725078571363,0,0,0,5290,0.0231484531094211
A2,V1,B_2,B,2,4918,0.00676884775359891,0.629498233286567,0.627572945743901,0.0019252875426663,0,0,0,5290,0.0231484531094211
A2,V1,C_1,C,1,4918,0.12254391587006,0.648513126887547,0.582170558720164,0.0663425681673825,0.0941160913836573,0.239239301495886,-0.145123210112229,5290,0.263675402706067
A2,V1,C_2,C,2,4918,0.141167424793574,0.509267514044988,0.582170558720164,-0.0729030446751755,0,0.239239301495886,-0.239239301495886,5290,0.263675402706067
A2,V1,D_1,D,1,4918,0.00314018688196283,0.800048663813452,0.807648448175089,-0.00759978436163677,0,0,0,5290,0.00589144999770434
A2,V1,D_2,D,2,4918,0.00149569449374806,0.827812316075287,0.807648448175089,0.0201638679001981,0,0,0,5290,0.00589144999770434
A2,V1,E_1,E,1,4918,0.00381765309174022,0.797306868499582,0.813303193683549,-0.0159963251839669,0,0,0,5290,0.00768340930110035
A2,V1,E_2,E,2,4918,0.00284349721390683,0.80969547721868,0.813303193683549,-0.00360771646486913,0,0,0,5290,0.00768340930110035
A2,V1,F_1,F,1,4918,0.0294674062558703,0.705990739438315,0.726408388514486,-0.0204176490761708,0,0.00163042829422717,-0.00163042829422717,5290,0.039971394445605
A2,V1,F_2,F,2,4918,0.0132198257344021,0.699128015525935,0.726408388514486,-0.0272803729885515,0,0.00163042829422717,-0.00163042829422717,5290,0.039971394445605
A2,V1,G_1,G,1,4918,0.291337890214701,0.528318190164094,0.574378918590713,-0.046060728426619,0.281975880595402,0.308588682570358,-0.0266128019749563,5290,0.314177034496556
A2,V1,G_2,G,2,4918,0.0420644645718012,0.664705129579915,0.574378918590713,0.0903262109892018,0,0.308588682570358,-0.308588682570358,5290,0.314177034496556
A2,V1,H_1,H,1,4918,0.169530593336035,0.639264560995768,0.692848189861674,-0.0535836288659058,0.149201280244879,0.224251738396391,-0.0750504581515122,5290,0.211735688585611
A2,V1,H_2,H,2,4918,0.0355379858634662,0.627010892843432,0.692848189861674,-0.0658372970182418,0,0.224251738396391,-0.224251738396391,5290,0.211735688585611
A2,V1,I_1,I,1,4918,0.00461339601995457,0.83713603395179,0.828306841970452,0.00882919198133802,0,0,0,5290,0.00589487360154203
A2,V1,I_2,I,2,4918,0.000669467822751681,0.605692114901158,0.828306841970452,-0.222614727069294,0,0,0,5290,0.00589487360154203
A2,V1,J_1,J,1,4918,0.0145105075893918,0.883183480667594,0.854957003255038,0.0282264774125559,0,0,0,5290,0.0319904483184356
A2,V1,J_2,J,2,4918,0.00739964487744531,0.841409708307575,0.854957003255038,-0.013547294947463,0,0,0,5290,0.0319904483184356
A2,V1,L_1,L,1,4918,0.00124604179900123,0.803574786223398,0.832229534428017,-0.028654748204619,0,0,0,5290,0.00172279221591751
A2,V1,L_2,L,2,4918,0.00014277971661602,0.905540216109047,0.832229534428017,0.0733106816810303,0,0,0,5290,0.00172279221591751
A2,V1,M_1,M,1,4918,0.00298047600272646,0.846981207065103,0.829677074171039,0.0173041328940641,0,0,0,5290,0.0061740972680496
A2,V1,M_2,M,2,4918,0.00166409250296694,0.78940006204867,0.829677074171039,-0.0402770121223691,0,0,0,5290,0.0061740972680496
A2,V1,N_1,N,1,4918,0.0149056577455037,0.713161791402093,0.727623482178375,-0.0144616907762817,0,0,0,5290,0.0192168634164922
A2,V1,N_2,N,2,4918,0.00293762440347921,0.797305244947977,0.727623482178375,0.069681762769602,0,0,0,5290,0.0192168634164922
A2,V1,P_1,P,1,4918,0.00170237461867956,0.826087835173981,0.873763280225593,-0.0476754450516123,0,0,0,5290,0.0026931446076691
A2,V1,P_2,P,2,4918,0.000838746651981592,0.875833439279406,0.873763280225593,0.00207015905381336,0,0,0,5290,0.0026931446076691
A2,V1,Q_1,Q,1,4918,0.00145900803782245,0.882901297053168,0.884596216937655,-0.001694919884487,0,0,0,5290,0.00239209208381143
A2,V1,Q_2,Q,2,4918,0.00104912467483664,0.889379844665719,0.884596216937655,0.00478362772806418,0,0,0,5290,0.00239209208381143
A2,V1,R_1,R,1,4918,0.00129947582797672,0.854315611487124,0.875364185945454,-0.02104857445833,0,0,0,5290,0.00292540269529331
A2,V1,R_2,R,2,4918,0.000793957170101837,0.884806928240363,0.875364185945454,0.00944274229490938,0,0,0,5290,0.00292540269529331
A2,V1,S_1,S,1,4918,0.00155797877041004,0.829239463883344,0.859191482213916,-0.0299520183305716,0,0,0,5290,0.00190828492639695
A2,V1,S_2,S,2,4918,0.000397587796251195,0.830140977169443,0.859191482213916,-0.0290505050444727,0,0,0,5290,0.00190828492639695
