muni_id,mean_rho,min_rho,n_valid,disagreement_score
170720,-0.0160166294091328,-0.833333333333334,27,1.01601662940913
410780,0.0559796841278617,-0.737864787372622,32,0.944020315872138
510622,0.0576664383551629,-0.8,53,0.942333561644837
421200,0.164713447357344,-0.8,52,0.835286552642656
431390,0.172514619883041,-0.8,38,0.827485380116959
430697,0.176020790182953,-0.632455532033676,21,0.823979209817047
315720,0.207037674254809,-0.8,58,0.792962325745191
316400,0.219528850771014,-1,54,0.780471149228986
353350,0.228591540204303,-1,60,0.771408459795697
220530,0.238095238095238,-0.333333333333333,7,0.761904761904762
310510,0.239433888039344,-0.8,42,0.760566111960657
520547,0.250514443440707,-0.737864787372622,41,0.749485556559293
411720,0.252172662632608,-0.4,30,0.747827337367392
315440,0.254768377877751,-0.8,52,0.745231622122249
352950,0.261407095339349,-1,44,0.738592904660651
312340,0.272165526975909,0.272165526975909,2,0.727834473024091
421550,0.28023845517064,-0.8,59,0.71976154482936
421330,0.281004020413481,-0.737864787372622,43,0.718995979586519
430003,0.285785552847226,-0.316227766016838,36,0.714214447152775
421917,0.286885293161081,-1,32,0.713114706838919
292525,0.290788452989915,-0.632455532033676,31,0.709211547010085
240895,0.319704138055383,-1,18,0.680295861944617
411190,0.336577336680988,-0.8,44,0.663422663319012
520840,0.346785137480927,-1,57,0.653214862519073
410730,0.352707639105759,-0.8,47,0.647292360894241
150375,0.355013550135501,-0.333333333333333,41,0.644986449864499
411760,0.359115266076072,-0.8,53,0.640884733923928
290110,0.363793633791084,-0.6,67,0.636206366208916
431460,0.368689277114274,-0.6,46,0.631310722885726
312570,0.37252406531981,-1,56,0.62747593468019
270230,0.377089996971088,-1,51,0.622910003028912
310980,0.39277889798283,-0.816496580927726,31,0.60722110201717
521483,0.396988785098115,-0.632455532033676,56,0.603011214901885
352265,0.4,0.4,10,0.6
430825,0.40515623829591,-0.942809041582063,46,0.59484376170409
432010,0.410917884409929,-0.6,53,0.589082115590071
420665,0.412349453492837,-0.737864787372622,34,0.587650546507163
314437,0.416546966489441,-0.210818510677892,44,0.583453033510559
150580,0.421262613116625,-0.8,61,0.578737386883375
351820,0.421878828301377,-1,53,0.578121171698623
432252,0.432717286035871,-0.774596669241483,34,0.567282713964129
500020,0.432996274620397,-1,55,0.567003725379603
430360,0.436076396189428,-0.4,37,0.563923603810572
330475,0.438379032489331,-0.894427190999916,47,0.561620967510669
522205,0.441153193384982,-1,48,0.558846806615018
291710,0.4426044304559,-0.8,57,0.5573955695441
430471,0.446666666666667,-0.333333333333333,20,0.553333333333333
231150,0.450367471396795,-0.8,60,0.549632528603206
316330,0.450548181972035,-0.2,22,0.549451818027965
510830,0.450995184891136,-0.4,47,0.549004815108864
