channel,shift,n_rows,n_munis,mean_Z,sd_Z,nonzero_share,mean_Z_active_denom
M,DIF,289304,5571,0.000423079952957918,0.0611410207755294,0.20238572574178,0.000434528592869661
MG,DIF,289304,5571,4.0379589199819e-05,0.0570319131460372,0.203536764095899,-0.000342634300556547
MGP,DIF,289304,5571,0.000318906425619836,0.025796999383581,0.0919966540386583,0.000258608111604537
MP,DIF,289304,5571,0.0012861716226034,0.0419532924902613,0.15932721289716,0.00137146946940611
M,LEV,289304,5571,0.050981044459678,0.135087287312073,0.587468545198131,0.0679163791827645
MG,LEV,289304,5571,0.0228438669671211,0.0869782820106304,0.393046760501065,0.030675371679605
MGP,LEV,289304,5571,0.00410476895255519,0.0318620720118979,0.136665929264718,0.00759805080604684
MP,LEV,289304,5571,0.012056639179178,0.0570656819278041,0.301599701352211,0.0192448130699972
