outcome,model_type,spec,shift,channel,term,estimate,std_error,t_value,p_value
emp_share_active_jmt,joint_channel,BASE,DIF,ALL,Z_M,-0.000423640020991207,0.00874797133305513,-0.0484272301385396,0.964419431202374
emp_share_active_jmt,joint_channel,BASE,DIF,ALL,Z_MG,-0.00198173060847801,0.00151051671228818,-1.31195543376414,0.280895323211416
emp_share_active_jmt,joint_channel,BASE,DIF,ALL,Z_MGP,0.00923893660914861,0.00541022131679492,1.70768182448807,0.186232158595034
emp_share_active_jmt,joint_channel,BASE,DIF,ALL,Z_MP,0.00809409977316631,0.00844154467398088,0.95884107539163,0.408373866746033
emp_share_active_jmt,joint_channel,BASE,LEV,ALL,Z_M,-0.00156256948619276,0.00139867666515625,-1.11717706108882,0.345328777962392
emp_share_active_jmt,joint_channel,BASE,LEV,ALL,Z_MG,-0.00484356454797225,0.0028876719426975,-1.67732507157571,0.192071948653141
emp_share_active_jmt,joint_channel,BASE,LEV,ALL,Z_MGP,-0.00473750018624792,0.00714118278494723,-0.663405535037419,0.554495144842034
emp_share_active_jmt,joint_channel,BASE,LEV,ALL,Z_MP,0.00252572683884612,0.0138063644597801,0.182939313691445,0.866510558316458
emp_share_active_jmt,joint_channel,VAR-A,DIF,ALL,Z_M,-0.0275029465751829,0.0390001984908364,-0.705200169215677,0.531508281929516
emp_share_active_jmt,joint_channel,VAR-A,DIF,ALL,Z_MG,-0.000512981944504731,0.0156164862557786,-0.0328487430592725,0.975858506686215
emp_share_active_jmt,joint_channel,VAR-A,DIF,ALL,Z_MGP,-0.00174125582030353,0.0319258701907591,-0.0545405907466082,0.959933407923627
emp_share_active_jmt,joint_channel,VAR-A,DIF,ALL,Z_MP,0.0685067301482874,0.0170131248773522,4.02669883646614,0.0275246051816613
emp_share_active_jmt,joint_channel,VAR-A,LEV,ALL,Z_M,-0.0281957020158428,0.0276168081280429,-1.02096165078585,0.382425167165553
emp_share_active_jmt,joint_channel,VAR-A,LEV,ALL,Z_MG,-0.0226630509759562,0.00501701658923442,-4.51723660324084,0.0202808534916681
emp_share_active_jmt,joint_channel,VAR-A,LEV,ALL,Z_MGP,0.0143576904027186,0.0333942894640351,0.429944479524905,0.696248436196935
emp_share_active_jmt,joint_channel,VAR-A,LEV,ALL,Z_MP,-0.108725142435234,0.0164700421655834,-6.60138822609889,0.00707624454516355
emp_share_active_jmt,joint_channel,VAR-B,DIF,ALL,Z_M,0.0187765842051537,0.0189797223823582,0.98929709438778,0.395451560181818
emp_share_active_jmt,joint_channel,VAR-B,DIF,ALL,Z_MG,-0.0203091319803094,0.00855225761332078,-2.37471003547372,0.098085391075943
emp_share_active_jmt,joint_channel,VAR-B,DIF,ALL,Z_MGP,0.0239753693907013,0.00439947916878053,5.44959266106649,0.0121363406645335
emp_share_active_jmt,joint_channel,VAR-B,DIF,ALL,Z_MP,-0.00651893459668363,0.0122152273713814,-0.533672800226102,0.630577683666425
emp_share_active_jmt,joint_channel,VAR-B,LEV,ALL,Z_M,0.0194611502398731,0.0052666857356772,3.69514172984365,0.0343936165749747
emp_share_active_jmt,joint_channel,VAR-B,LEV,ALL,Z_MG,-0.000276892361535619,0.00550518195706375,-0.0502966775113285,0.963047420595604
emp_share_active_jmt,joint_channel,VAR-B,LEV,ALL,Z_MGP,-0.00757800096159867,0.0137752204961576,-0.550118305816772,0.620548135603003
emp_share_active_jmt,joint_channel,VAR-B,LEV,ALL,Z_MP,-0.00138944843529021,0.0149673990054635,-0.0928316559732942,0.931889315454378
emp_share_active_jmt,per_channel,BASE,DIF,M,Z_single,0.00257288938563387,0.00588389628684216,0.437276467871721,0.691475655970139
emp_share_active_jmt,per_channel,BASE,DIF,MG,Z_single,0.00145156658943612,0.00219441333840686,0.661482758981933,0.555570863512017
emp_share_active_jmt,per_channel,BASE,DIF,MGP,Z_single,0.0133079707526152,0.00689224057465019,1.93086277364755,0.149040141776051
