set,channels,ar_F,ar_p,df1,df2,K_Z,n_obs,reject_5pc,ar_ci_lo,ar_ci_hi,ar_ci_width,ci_note
MG only,MG,3.1954533540756,0.0123970350613256,4,83127,4,88694,TRUE,,,,scalar-index AR CI not feasible from muni wide panel
"M, G, MG stacked","M,G,MG",4.81590296881374,5.72672099426283e-08,12,83113,12,88694,TRUE,,,,scalar-index AR CI not feasible from muni wide panel
