stack_id,taxonomy,stack_label,tex_label,channels,n_channels,K_Z,ar_F_novol,ar_p_novol,reject_novol,ar_F_volctrl,ar_p_volctrl,reject_volctrl,ar_F_volIV,ar_p_volIV,reject_volIV,volIV_instrument,volIV_fs_F,df1,n_obs,n_endogenous,identified_shares,sw_max,kp_rank_wald,kp_p,relevant_verdict
G,policy_block_size_bin,{Governor},\{G\},G,1,12,6.00340759301123,1.34255966769945e-10,TRUE,6.00361413998225,1.34112206029406e-10,TRUE,5.93208398908995,1.9430393812427e-10,TRUE,"M,MG",5.7760639117387,12,88694,11,3,13.2180878196375,1.77329193467552,0.412035417987763,TRUE
P,policy_block_size_bin,{President},\{P\},P,1,12,2.14398542699788,0.0117357962453171,TRUE,2.14545044102881,0.0116691157496673,TRUE,1.62343102686371,0.0775831203555513,FALSE,"M,MG",2.69886409249211,12,88694,11,2,21.6377112229938,1.72084882205972,0.42298252576818,TRUE
GP,policy_block_size_bin,{Governor x President},\{G$\cdot$P\},GP,1,12,2.13229627732701,0.0122808467973037,TRUE,2.13213686417851,0.0122884424293199,TRUE,2.03237278500321,0.018013872623039,TRUE,"M,MG",2.60341637991696,12,88694,11,1,12.4938629010273,141.997230588219,1.4645127432854e-31,TRUE
