term,coef,se,tstat,pval,F_partial,p_partial,channel,channel_label,relevant_5pc,lhs,n_obs,joint_F_7chan,joint_p_7chan,joint_rank_deficient
Z_M,-0.00285383812316909,0.0016653221274444,-1.71368534419739,0.185101292282497,2.93671745891693,0.0865874789790361,M,Mayor,FALSE,s_credit,348416,,,TRUE
Z_G,-0.00548392276242328,0.0029299550777383,-1.87167469019916,0.157991258060118,3.50316614593211,0.0612525163732013,G,Governor,FALSE,s_credit,348416,,,TRUE
Z_P,0.0491898604282425,0.00656748501893068,7.48990828094064,0.00493004230185639,56.0987260569032,6.90938759998718e-14,P,President,TRUE,s_credit,348416,,,TRUE
Z_MG,-0.01523349810771,0.00907644284279464,-1.67835553768767,0.191870342314647,2.81687731088688,0.0932786688127964,MG,Mayor x Governor,FALSE,s_credit,348416,,,TRUE
Z_MP,0.00525472344050582,0.00769499004796795,0.682875924172696,0.543692204141246,0.466319527814714,0.494685732870758,MP,Mayor x President,FALSE,s_credit,348416,,,TRUE
Z_GP,0.0454814248475376,0.0155155645100414,2.9313419320388,0.0609345619399587,8.59276552252898,0.00337524463251755,GP,Governor x President,TRUE,s_credit,348416,,,TRUE
Z_MGP,-0.00136095495549953,0.00947050624891057,-0.143704562325387,0.894843830433504,0.0206510012331309,0.885733857051324,MGP,Mayor x Gov. x President,FALSE,s_credit,348416,,,TRUE
