taxonomy,stack_id,stack_group,stack_label,tex_label,channels,spec,volume_control,n_obs,n_muni,n_endogenous,n_instruments,kp_rank_wald,kp_p,kp_df,kp_nondegenerate,kp_error,sw_min,sw_median,sw_max,n_sw_ge_5,n_sw_ge_10,n_sw_ge_20,identified_shares,relevant_verdict,sw_F_Agro_1,sw_p_Agro_1,sw_F_Agro_2,sw_p_Agro_2,sw_F_Agro_3,sw_p_Agro_3,sw_F_Ind_1,sw_p_Ind_1,sw_F_Ind_2,sw_p_Ind_2,sw_F_Ind_3,sw_p_Ind_3,sw_F_Infra_1,sw_p_Infra_1,sw_F_Infra_2,sw_p_Infra_2,sw_F_Infra_3,sw_p_Infra_3,sw_F_Serv_1,sw_p_Serv_1,sw_F_Serv_2,sw_p_Serv_2
policy_block_size_bin,M,Singletons,Mayor,\{M\},M,novol,FALSE,88694,5544,11,12,10.4443704129278,0.00539552589682514,2,TRUE,,0.752805408880838,2.4173549807595,6.95938460829909,2,0,0,0,TRUE,0.752805408880838,0.7000481302338,2.4173549807595,0.00393305809855965,3.79993214228524,8.1620162430646e-06,1.5852460806085,0.0879992646383478,0.887853061063026,0.55876314713382,0.872263808383239,0.575049625072484,1.80434144197293,0.0416265878421885,4.59995779079315,1.67652080492499e-07,6.95938460829909,8.92089334594777e-13,6.31072012593123,2.70795067206554e-11,4.7241022603318,9.04946972339756e-08
policy_block_size_bin,M,Singletons,Mayor,\{M\},M,volctrl,TRUE,88694,5544,11,12,10.3957202117092,0.00552838192426118,2,TRUE,,0.752861933684527,2.41694808412838,6.94776646854032,2,0,0,0,TRUE,0.752861933684527,0.699990089462366,2.41694808412838,0.00393962747512551,3.79901683167371,8.19755679549274e-06,1.58528740199825,0.0879873632186099,0.887822121242344,0.558795386555349,0.872021411059989,0.575303467841,1.80332923009292,0.0417764503572074,4.59889030140163,1.6854095496031e-07,6.94776646854032,9.486862907623e-13,6.31649201827142,2.62748562160631e-11,4.72812291580081,8.87007105154833e-08
policy_block_size_bin,G,Singletons,Governor,\{G\},G,novol,FALSE,88694,5544,11,12,1.74761687360882,0.417359033171485,2,TRUE,,0.955442969038848,3.81587525351469,13.2054524588509,5,4,0,4,TRUE,2.25659081107215,0.00753363357470995,2.48005480122745,0.00303704338149765,6.1669169737767,5.73422630440607e-11,0.955442969038848,0.489524904949034,1.6193564194889,0.078639225522958,1.81149317135417,0.0405815956644738,3.81587525351469,7.56679340746297e-06,10.0010865581564,6.35676880824408e-20,13.2054524588509,1.1479467598407e-27,10.8098335799449,7.32112737000507e-22,11.9940101605015,1.01291511457324e-24
policy_block_size_bin,G,Singletons,Governor,\{G\},G,volctrl,TRUE,88694,5544,11,12,1.77329193467552,0.412035417987763,2,TRUE,,0.955241200608487,3.81382188400918,13.2180878196375,5,3,0,3,TRUE,2.2566203400501,0.00753274789270934,2.48012135385131,0.00303620579038912,6.17073397506286,5.62134464449735e-11,0.955241200608487,0.489727181898271,1.61910412944511,0.0787051235942717,1.81197754466826,0.040511691046618,3.81382188400918,7.64098328539225e-06,9.99988698999933,6.39885978338643e-20,13.2180878196375,1.06930563749455e-27,10.801955617978,7.64752800135088e-22,11.9906188731017,1.03226618513618e-24
policy_block_size_bin,P,Singletons,President,\{P\},P,novol,FALSE,88694,5544,11,12,0.321223492175336,0.851622652754952,2,TRUE,,1.5454468851549,4.29252803936568,21.6259452653059,4,2,1,2,TRUE,1.54743423852751,0.0994925844362957,1.5454468851549,0.100130888419687,4.29252803936568,7.60627543554846e-07,2.24579067709664,0.00786431760902389,1.70783644887934,0.0583190490995913,1.97736014727185,0.0221545912807773,4.40816506616438,4.31768042071917e-07,12.587503331256,3.67162045133727e-26,21.6259452653059,1.68780873759677e-48,8.7515570468379,5.90328307527434e-17,8.8333661300973,3.78396653961942e-17
policy_block_size_bin,P,Singletons,President,\{P\},P,volctrl,TRUE,88694,5544,11,12,1.72084882205972,0.42298252576818,2,TRUE,,1.54577491486431,4.28998336218869,21.6377112229938,4,2,1,2,TRUE,1.5474875277676,0.0994755173875742,1.54577491486431,0.100025289230992,4.28998336218869,7.70136955143552e-07,2.24525436674057,0.00788109279825572,1.70755086695668,0.0583762912397307,1.97769571581824,0.0221268401489889,4.40725869494159,4.33694024836913e-07,12.5899890296715,3.62087936881537e-26,21.6377112229938,1.57733013311988e-48,8.74097773344927,6.25255923697025e-17,8.82996931007522,3.85452291928579e-17
policy_block_size_bin,MG,Singletons,Mayor x Governor,\{M$\cdot$G\},MG,novol,FALSE,88694,5544,11,12,390.512330506895,1.5897355013572e-85,2,TRUE,,0.79803646656912,2.21252561393885,7.73620002924438,4,0,0,0,TRUE,1.48147482653409,0.122633849675836,2.21252561393885,0.00897158321021126,4.30230569735321,7.25157710692867e-07,0.79803646656912,0.653062661770394,1.1819164157256,0.289196245309727,1.17050916739851,0.297793802473331,1.56326533816111,0.0945318095801989,6.37827948309751,1.90193541502267e-11,6.80909926746815,1.97479450625112e-12,6.8130700038603,1.93382038657129e-12,7.73620002924438,1.41970124880808e-14
policy_block_size_bin,MG,Singletons,Mayor x Governor,\{M$\cdot$G\},MG,volctrl,TRUE,88694,5544,11,12,50.6481234525201,1.00438387787541e-11,2,TRUE,,0.798150601012565,2.21289484243211,7.75130573640599,4,0,0,0,TRUE,1.48157274751724,0.122596382774656,2.21289484243211,0.00895851956658662,4.29920609428683,7.36221037737518e-07,0.798150601012565,0.652943058208492,1.18264183027999,0.288655310281417,1.17138735842215,0.297125825991283,1.56440803633311,0.0941821484294595,6.37628026094123,1.92194022916314e-11,6.80325401892882,2.03669110831004e-12,6.81718177937761,1.8922837788025e-12,7.75130573640599,1.30921419235127e-14
policy_block_size_bin,MP,Singletons,Mayor x President,\{M$\cdot$P\},MP,novol,FALSE,88694,5544,11,12,10.435917589442,0.00541837786773754,2,TRUE,,1.38862850253143,2.9668709843828,9.64312133773881,4,0,0,0,TRUE,1.72477766059468,0.0550119188812536,1.38862850253143,0.162723221948368,3.73766868684311,1.09622012722546e-05,1.49994229044548,0.11573620833943,1.42086699808393,0.147736336000518,1.84011872990274,0.0366337980112207,2.9668709843828,0.000375960808108578,7.51500078721237,4.640186412369e-14,9.64312133773881,4.54089076625285e-19,8.56729499044469,1.60495335502272e-16,6.04773841326969,1.06581207634106e-10
policy_block_size_bin,MP,Singletons,Mayor x President,\{M$\cdot$P\},MP,volctrl,TRUE,88694,5544,11,12,10.8486711373078,0.00440799399841346,2,TRUE,,1.38830779982257,2.96807405359497,9.64890644067369,4,0,0,0,TRUE,1.72467735772184,0.055030994232337,1.38830779982257,0.162878275664283,3.73276331716849,1.12193438112494e-05,1.49991204470223,0.115747231508212,1.42073722890779,0.147794317659143,1.83992559210152,0.0366592158248791,2.96807405359497,0.000373965267644191,7.51542790920773,4.62960605001665e-14,9.64890644067369,4.39909343850593e-19,8.56247929839996,1.6474119216506e-16,6.04303525391345,1.0921655370463e-10
