channel,channel_label,term,coef,se,tstat,pval,F_partial,p_partial,relevant_5pc,n_obs,joint_F_7chan,joint_p_7chan,joint_rank_deficient
M,Mayor,Zbar_M,0.112970676602707,0.232467586227258,0.485963133338805,0.627012514574314,0.236160166964469,0.626994585849707,FALSE,88694,1.79648831752023,0.0831701190629854,FALSE
G,Governor,Zbar_G,1.32190936946626,0.558252553201337,2.3679414664307,0.0179214912288897,5.60714678844197,0.0178896404258679,TRUE,88694,1.79648831752023,0.0831701190629854,FALSE
P,President,Zbar_P,0.0139936467484254,0.333303736470993,0.0419846680886015,0.966512432594554,0.00176271235451004,0.966511021266479,FALSE,88694,1.79648831752023,0.0831701190629854,FALSE
MG,Mayor x Governor,Zbar_MG,-1.89245757331475,0.837043339141595,-2.26088361835064,0.023805074837358,5.11159473572628,0.0237690387665022,TRUE,88694,1.79648831752023,0.0831701190629854,FALSE
MP,Mayor x President,Zbar_MP,-0.172679738055198,0.583668555774969,-0.295852391475709,0.767353892735592,0.0875286375418964,0.767343549328135,FALSE,88694,1.79648831752023,0.0831701190629854,FALSE
GP,Governor x President,Zbar_GP,-1.28492478635836,0.842044220652027,-1.52595879746481,0.127077179277318,2.32855025156026,0.127023930470203,FALSE,88694,1.79648831752023,0.0831701190629854,FALSE
MGP,Mayor x Gov. x President,Zbar_MGP,1.83407872194748,1.23629177975411,1.48353224698482,0.137989910740201,2.20086792784384,0.137936846660168,FALSE,88694,1.79648831752023,0.0831701190629854,FALSE
