channel,channel_label,coef,se,F_partial,p_partial,volume_relevant,taxonomy
M,Mayor,-0.396698658424706,0.199187407094508,3.96641093753464,0.0464198734392672,TRUE,policy_block
G,Governor,0.324594572638157,0.238786064382482,1.84784080246717,0.174038418099018,FALSE,policy_block
P,President,-0.18821974242791,0.167326248841127,1.26532532228654,0.260648729356478,FALSE,policy_block
MG,Mayor x Governor,-0.770202314400689,0.359283429829946,4.59552637154395,0.0320583904209535,TRUE,policy_block
MP,Mayor x President,-0.0844677447985113,0.238884423253363,0.125027668990962,0.723645178807279,FALSE,policy_block
GP,Governor x President,-0.186954507761685,0.372334117996174,0.252119371015029,0.615588030872704,FALSE,policy_block
MGP,Mayor x Gov. x President,-0.149152910126122,0.309584824858362,0.232115495433303,0.629960906177352,FALSE,policy_block
