pair,pair_label,corr_full,corr_verticalizado,corr_post,taxonomy,vert_minus_post
G-P,Governor vs President,0.0231522333999219,0.0234749625324583,0.0270410003155067,policy_block,-0.00356603778304845
MG-MP,Mayor x Governor vs Mayor x President,0.0650041797017536,0.0252792368732123,0.0938388986802055,policy_block,-0.0685596618069933
MP-MGP,Mayor x President vs Mayor x Gov. x President,0.183105194071037,0.171246728498691,0.1872082536745,policy_block,-0.0159615251758095
MG-MGP,Mayor x Governor vs Mayor x Gov. x President,0.15168305936319,0.0626510488194424,0.209551529787904,policy_block,-0.146900480968461
M-MG,Mayor vs Mayor x Governor,0.143716153004533,0.112434337882172,0.17046589244731,policy_block,-0.0580315545651386
M-MP,Mayor vs Mayor x President,0.105281506104961,0.0335759120492166,0.160417849618719,policy_block,-0.126841937569503
