channel,channel_label,kp_rank_wald,kp_p,sw_min,sw_median,sw_max,identified_shares,n_endogenous,rel_comp,rel_vol,assignment,fallback_used,in_comp_set,in_vol_set,routing_source,taxonomy,F_comp,p_comp,F_vol,p_vol
M,Mayor,7915.40752622618,0,0.670868065499903,1.43988901797812,6.10373194168671,0,3,TRUE,FALSE,composition,FALSE,TRUE,FALSE,B8 wide-form first stage,policy_block,6.10373194168671,0,,
G,Governor,623.278986456813,4.53615355689603e-136,2.60030217769879,7.92784449244462,19.3860254462683,1,3,TRUE,FALSE,composition,FALSE,TRUE,FALSE,B8 wide-form first stage,policy_block,19.3860254462683,4.53615355689603e-136,,
P,President,47985.0593501934,0,0.635060874955756,1.15321098635327,32.6556989507554,1,3,TRUE,FALSE,composition,FALSE,TRUE,FALSE,B8 wide-form first stage,policy_block,32.6556989507554,0,,
MG,Mayor x Governor,326.263416520102,1.42167157178172e-71,1.5837293283567,3.13454419962363,10.1703199174753,1,3,TRUE,FALSE,composition,FALSE,TRUE,FALSE,B8 wide-form first stage,policy_block,10.1703199174753,1.42167157178172e-71,,
MP,Mayor x President,14286.0291787985,0,1.96739331566087,2.16742383426918,14.2494286736734,1,3,TRUE,FALSE,composition,FALSE,TRUE,FALSE,B8 wide-form first stage,policy_block,14.2494286736734,0,,
GP,Governor x President,280.192956502035,1.43506826802894e-61,0.937282952596457,1.29299949541514,23.8495739621071,1,3,TRUE,FALSE,composition,FALSE,TRUE,FALSE,B8 wide-form first stage,policy_block,23.8495739621071,1.43506826802894e-61,,
MGP,Mayor x Gov. x President,25705.8234586598,0,1.28205871461722,1.35577246916544,11.6268568738007,1,3,TRUE,FALSE,composition,FALSE,TRUE,FALSE,B8 wide-form first stage,policy_block,11.6268568738007,0,,
