channel,channel_label,term,coef,se,tstat,pval,F_partial,p_partial,relevant_5pc,lhs,n_obs,joint_F_7chan,joint_p_7chan,joint_rank_deficient
M,Mayor,Z_M,0.00807960913910583,0.00568854059464843,1.42033075174093,0.183229491554502,2.01733944434097,0.155511863798466,FALSE,s_emp,750037,2.96536811418039,0.00414639989615961,FALSE
G,Governor,Z_G,0.00442067729718716,0.0128311447352255,0.344527116512918,0.736946639768433,0.118698934012706,0.73045001168262,FALSE,s_emp,750037,2.96536811418039,0.00414639989615961,FALSE
P,President,Z_P,0.0470678776720862,0.0321144161034868,1.46563080955334,0.170741388426698,2.14807366991198,0.142749348199025,FALSE,s_emp,750037,2.96536811418039,0.00414639989615961,FALSE
MG,Mayor x Governor,Z_MG,-0.00656760493843336,0.00642075029504576,-1.02287188204483,0.32833747620631,1.04626688707794,0.306368783777694,FALSE,s_emp,750037,2.96536811418039,0.00414639989615961,FALSE
MP,Mayor x President,Z_MP,-0.0104568003615328,0.0106656103227657,-0.980422127293811,0.347949245969214,0.961227547687322,0.326878135061155,FALSE,s_emp,750037,2.96536811418039,0.00414639989615961,FALSE
GP,Governor x President,Z_GP,0.00535328734601868,0.0252011030792347,0.212422739162942,0.835662321770758,0.0451234201134872,0.831777309941817,FALSE,s_emp,750037,2.96536811418039,0.00414639989615961,FALSE
MGP,Mayor x Gov. x President,Z_MGP,0.00837508347870256,0.011878641359493,0.705053989361292,0.495435114521092,0.497101127914273,0.480776875957659,FALSE,s_emp,750037,2.96536811418039,0.00414639989615961,FALSE
