block,n_chan,joint_F,joint_p,n_obs
mains,3,3.79576434154118,0.00980619030740147,750037
plus_pairs,6,3.42786032831772,0.00219383169067799,750037
plus_triple,7,2.96536811418039,0.00414639989615961,750037
