channel,channel_label,kp_rank_wald,kp_p,sw_min,sw_median,sw_max,identified_shares,n_endogenous,rel_comp,rel_vol,assignment,fallback_used,in_comp_set,in_vol_set,routing_source,taxonomy,F_comp,p_comp,F_vol,p_vol
M,Mayor,10.3957202117092,0.00552838192426118,0.752861933684527,2.41694808412838,6.94776646854032,0,11,TRUE,FALSE,composition,FALSE,TRUE,FALSE,B8 wide-form first stage,policy_block_size_bin,6.94776646854032,0.00552838192426118,,
G,Governor,1.77329193467552,0.412035417987763,0.955241200608487,3.81382188400918,13.2180878196375,3,11,TRUE,FALSE,composition,FALSE,TRUE,FALSE,B8 wide-form first stage,policy_block_size_bin,13.2180878196375,0.412035417987763,,
P,President,1.72084882205972,0.42298252576818,1.54577491486431,4.28998336218869,21.6377112229938,2,11,TRUE,FALSE,composition,FALSE,TRUE,FALSE,B8 wide-form first stage,policy_block_size_bin,21.6377112229938,0.42298252576818,,
MG,Mayor x Governor,50.6481234525201,1.00438387787541e-11,0.798150601012565,2.21289484243211,7.75130573640599,0,11,TRUE,FALSE,composition,FALSE,TRUE,FALSE,B8 wide-form first stage,policy_block_size_bin,7.75130573640599,1.00438387787541e-11,,
MP,Mayor x President,10.8486711373078,0.00440799399841346,1.38830779982257,2.96807405359497,9.64890644067369,0,11,TRUE,FALSE,composition,FALSE,TRUE,FALSE,B8 wide-form first stage,policy_block_size_bin,9.64890644067369,0.00440799399841346,,
GP,Governor x President,141.997230588219,1.4645127432854e-31,0.943912070827033,2.27410239289338,12.4938629010273,1,11,TRUE,FALSE,composition,FALSE,TRUE,FALSE,B8 wide-form first stage,policy_block_size_bin,12.4938629010273,1.4645127432854e-31,,
MGP,Mayor x Gov. x President,88.793236885392,5.23351646918125e-20,1.12145100224118,2.31773385041983,7.85971439112375,0,11,TRUE,FALSE,composition,FALSE,TRUE,FALSE,B8 wide-form first stage,policy_block_size_bin,7.85971439112375,5.23351646918125e-20,,
